"prov_cdc","densidad_2020","altitud","ide","pob_ocup","pob2017","ocup_perc"
"LIMA",323.375322196033,162.42,0.8274614,4873073.32414016,10135009,0.480815885229126
"BAGUA",17.3562461965213,408,0.649202856777717,26886.463315452,82193,0.327113784816858
"BONGARA",10.2225010018643,2081,0.716390890220421,11212.590448998,27085,0.413977864094443
"CHACHAPOYAS",17.7434888010699,2338,0.767278998632085,25568.807206785,60419,0.423191499475082
"CONDORCANQUI",4.22177210063314,189,0.408828965702124,8563.13842169599,49800,0.171950570716787
"LUYA",15.703436855049,2328,0.705204486664951,16076.254170249,48140,0.33394794703467
"RODRIGUEZ DE MENDOZA",14.1311949275024,1616,0.674197729182214,12366.909765759,32130,0.384902264729505
"UTCUBAMBA",32.9745792923629,444,0.693749408810203,42027.1969055019,117598,0.357380201240684
"CAJABAMBA",49.7859086986347,2687,0.665060394442928,24151.94922704,80630,0.299540484026293
"CAJAMARCA",136.314090301969,2731,0.747007097195902,132164.781944794,369594,0.357594500843612
"CELENDIN",37.0799404903865,2629,0.653067871631563,27186.640390142,84223,0.322793540839699
"CHOTA",44.9300413691339,2430,0.6855374882134,49421.526752464,152383,0.324324411203769
"CONTUMAZA",14.3170412446325,2695,0.659510831470299,9487.80379867399,29532,0.321271969344236
"CUTERVO",46.1548113562669,2665,0.658873635175849,41410.213191917,125833,0.329088658713668
"HUALGAYOC",128.69973621566,2556,0.67028780834506,28717.0015524233,84479,0.339930652025039
"JAEN",44.1727487639917,728,0.690882289980988,76410.164305336,197834,0.386233732853483
"SAN IGNACIO",31.6635456934588,1295,0.665181262962315,52799.083770619,141474,0.37320697633925
"SAN MARCOS",42.5193787069117,2280,0.670938912464002,15344.930653391,51152,0.29998691455644
"SAN MIGUEL",20.8919467522659,2612,0.668015427812079,16321.256054935,48499,0.336527682115817
"SAN PABLO",38.9697898228443,2391,0.659078653920534,7052.306600502,22572,0.312436053539872
