dpt_cdc,prov_cdc,n,pob,y1,ylog,x1,sd,y_low,y_upp,id
AMAZONAS,BAGUA,0,84445,0,-16.771743399526496,0,1,-18.731743399526497,-14.811743399526495,1
AMAZONAS,BAGUA,0,84445,0,-16.771743399526496,1,1,-18.731743399526497,-14.811743399526495,1
AMAZONAS,BAGUA,0,84445,0,-16.771743399526496,2,1,-18.731743399526497,-14.811743399526495,1
AMAZONAS,BAGUA,1,84445,1.1842027355083191e-5,-11.339472968064676,11,0.997805092390298,-13.29517094914966,-9.383774986979692,1
AMAZONAS,BAGUA,2,84445,2.3684054710166382e-5,-10.648514759342746,12,0.7063232073772431,-12.032908245802142,-9.264121272883349,1
AMAZONAS,BAGUA,3,84445,3.552608206524957e-5,-10.24378037460987,13,0.5769178142163828,-11.37453929047398,-9.11302145874576,1
AMAZONAS,BAGUA,1,84445,1.1842027355083191e-5,-11.339472968064676,14,0.997805092390298,-13.29517094914966,-9.383774986979692,1
AMAZONAS,BAGUA,5,84445,5.921013677541595e-5,-9.733539714236532,16,0.4470040465337129,-10.60966764544261,-8.857411783030454,1
AMAZONAS,BAGUA,5,84445,5.921013677541595e-5,-9.733539714236532,17,0.4470040465337129,-10.60966764544261,-8.857411783030454,1
AMAZONAS,BAGUA,10,84445,1.184202735508319e-4,-9.040831480887647,18,0.31613961095755844,-9.660465118364462,-8.421197843410832,1
AMAZONAS,BAGUA,18,84445,2.131564923914974e-4,-8.45323996549817,19,0.23564838246057923,-8.915110795120906,-7.991369135875435,1
AMAZONAS,BAGUA,27,84445,3.197347385872461e-4,-8.047856180928154,20,0.19240366628248406,-8.424967366841823,-7.670744995014485,1
AMAZONAS,BAGUA,31,84445,3.671028480075789e-4,-7.909726830240482,21,0.17955960714513863,-8.261663660244954,-7.55779000023601,1
AMAZONAS,BAGUA,26,84445,3.0789271123216294e-4,-8.085590253019415,22,0.19606937535398994,-8.469886228713236,-7.701294277325594,1
AMAZONAS,BAGUA,30,84445,3.552608206524957e-4,-7.94251193077161,23,0.18252838578124916,-8.300267566902859,-7.5847562946403615,1
AMAZONAS,BAGUA,25,84445,2.9605068387707976e-4,-8.124804209853743,24,0.199952822997498,-8.51671174292884,-7.732896676778647,1
AMAZONAS,BAGUA,16,84445,1.8947243768133106e-4,-8.570992506532717,25,0.24994200329156074,-9.060878832984177,-8.081106180081257,1
AMAZONAS,BAGUA,13,84445,1.5394635561608147e-4,-8.778568539298334,26,0.2772819023201981,-9.322041067845923,-8.235096010750745,1
AMAZONAS,BAGUA,4,84445,4.7368109420332764e-5,-9.956463864177069,27,0.4997138544596859,-10.935903018918053,-8.977024709436085,1
AMAZONAS,BAGUA,4,84445,4.7368109420332764e-5,-9.956463864177069,28,0.4997138544596859,-10.935903018918053,-8.977024709436085,1
AMAZONAS,BAGUA,4,84445,4.7368109420332764e-5,-9.956463864177069,29,0.4997138544596859,-10.935903018918053,-8.977024709436085,1
AMAZONAS,BAGUA,9,84445,1.065782461957487e-4,-9.146143215117252,30,0.33323425517020017,-9.799282355250845,-8.49300407498366,1
AMAZONAS,BAGUA,11,84445,1.302623009059151e-4,-8.945561214931004,31,0.30143152264072903,-9.536366999306834,-8.354755430555175,1
AMAZONAS,BAGUA,3,84445,3.552608206524957e-5,-10.24378037460987,32,0.5769178142163828,-11.37453929047398,-9.11302145874576,1
AMAZONAS,BAGUA,4,84445,4.7368109420332764e-5,-9.956463864177069,33,0.4997138544596859,-10.935903018918053,-8.977024709436085,1
AMAZONAS,BAGUA,2,84445,2.3684054710166382e-5,-10.648514759342746,34,0.7063232073772431,-12.032908245802142,-9.264121272883349,1
AMAZONAS,BAGUA,2,84445,2.3684054710166382e-5,-10.648514759342746,35,0.7063232073772431,-12.032908245802142,-9.264121272883349,1
AMAZONAS,BAGUA,3,84445,3.552608206524957e-5,-10.24378037460987,36,0.5769178142163828,-11.37453929047398,-9.11302145874576,1
AMAZONAS,BAGUA,1,84445,1.1842027355083191e-5,-11.339472968064676,38,0.997805092390298,-13.29517094914966,-9.383774986979692,1
AMAZONAS,BAGUA,2,84445,2.3684054710166382e-5,-10.648514759342746,39,0.7063232073772431,-12.032908245802142,-9.264121272883349,1
AMAZONAS,BAGUA,1,84445,1.1842027355083191e-5,-11.339472968064676,40,0.997805092390298,-13.29517094914966,-9.383774986979692,1
AMAZONAS,BAGUA,2,84445,2.3684054710166382e-5,-10.648514759342746,41,0.7063232073772431,-12.032908245802142,-9.264121272883349,1
AMAZONAS,BAGUA,1,84445,1.1842027355083191e-5,-11.339472968064676,42,0.997805092390298,-13.29517094914966,-9.383774986979692,1
AMAZONAS,BAGUA,3,84445,3.552608206524957e-5,-10.24378037460987,45,0.5769178142163828,-11.37453929047398,-9.11302145874576,1
AMAZONAS,BAGUA,1,84445,1.1842027355083191e-5,-11.339472968064676,46,0.997805092390298,-13.29517094914966,-9.383774986979692,1
AMAZONAS,BAGUA,1,84445,1.1842027355083191e-5,-11.339472968064676,47,0.997805092390298,-13.29517094914966,-9.383774986979692,1
AMAZONAS,BAGUA,3,84445,3.552608206524957e-5,-10.24378037460987,48,0.5769178142163828,-11.37453929047398,-9.11302145874576,1
AMAZONAS,BAGUA,1,84445,1.1842027355083191e-5,-11.339472968064676,49,0.997805092390298,-13.29517094914966,-9.383774986979692,1
AMAZONAS,BAGUA,2,84445,2.3684054710166382e-5,-10.648514759342746,50,0.7063232073772431,-12.032908245802142,-9.264121272883349,1
AMAZONAS,BAGUA,2,84445,2.3684054710166382e-5,-10.648514759342746,51,0.7063232073772431,-12.032908245802142,-9.264121272883349,1
AMAZONAS,BAGUA,4,84445,4.7368109420332764e-5,-9.956463864177069,52,0.4997138544596859,-10.935903018918053,-8.977024709436085,1
AMAZONAS,BAGUA,9,84445,1.065782461957487e-4,-9.146143215117252,53,0.33323425517020017,-9.799282355250845,-8.49300407498366,1
AMAZONAS,BAGUA,2,84445,2.3684054710166382e-5,-10.648514759342746,54,0.7063232073772431,-12.032908245802142,-9.264121272883349,1
AMAZONAS,BAGUA,3,84445,3.552608206524957e-5,-10.24378037460987,55,0.5769178142163828,-11.37453929047398,-9.11302145874576,1
AMAZONAS,BAGUA,3,84445,3.552608206524957e-5,-10.24378037460987,56,0.5769178142163828,-11.37453929047398,-9.11302145874576,1
AMAZONAS,BAGUA,2,84445,2.3684054710166382e-5,-10.648514759342746,57,0.7063232073772431,-12.032908245802142,-9.264121272883349,1
AMAZONAS,BAGUA,3,84445,3.552608206524957e-5,-10.24378037460987,58,0.5769178142163828,-11.37453929047398,-9.11302145874576,1
AMAZONAS,BAGUA,4,84445,4.7368109420332764e-5,-9.956463864177069,59,0.4997138544596859,-10.935903018918053,-8.977024709436085,1
AMAZONAS,BAGUA,4,84445,4.7368109420332764e-5,-9.956463864177069,60,0.4997138544596859,-10.935903018918053,-8.977024709436085,1
AMAZONAS,BAGUA,5,84445,5.921013677541595e-5,-9.733539714236532,61,0.4470040465337129,-10.60966764544261,-8.857411783030454,1
AMAZONAS,BAGUA,9,84445,1.065782461957487e-4,-9.146143215117252,62,0.33323425517020017,-9.799282355250845,-8.49300407498366,1
AMAZONAS,BAGUA,9,84445,1.065782461957487e-4,-9.146143215117252,63,0.33323425517020017,-9.799282355250845,-8.49300407498366,1
AMAZONAS,BAGUA,11,84445,1.302623009059151e-4,-8.945561214931004,64,0.30143152264072903,-9.536366999306834,-8.354755430555175,1
AMAZONAS,BAGUA,9,84445,1.065782461957487e-4,-9.146143215117252,65,0.33323425517020017,-9.799282355250845,-8.49300407498366,1
AMAZONAS,BAGUA,8,84445,9.473621884066553e-5,-9.26386527733452,66,0.3534396199421316,-9.9566069324211,-8.571123622247942,1
AMAZONAS,BAGUA,5,84445,5.921013677541595e-5,-9.733539714236532,67,0.4470040465337129,-10.60966764544261,-8.857411783030454,1
AMAZONAS,BAGUA,13,84445,1.5394635561608147e-4,-8.778568539298334,68,0.2772819023201981,-9.322041067845923,-8.235096010750745,1
AMAZONAS,BAGUA,3,84445,3.552608206524957e-5,-10.24378037460987,69,0.5769178142163828,-11.37453929047398,-9.11302145874576,1
AMAZONAS,BAGUA,2,84445,2.3684054710166382e-5,-10.648514759342746,70,0.7063232073772431,-12.032908245802142,-9.264121272883349,1
AMAZONAS,BAGUA,2,84445,2.3684054710166382e-5,-10.648514759342746,71,0.7063232073772431,-12.032908245802142,-9.264121272883349,1
AMAZONAS,BAGUA,5,84445,5.921013677541595e-5,-9.733539714236532,72,0.4470040465337129,-10.60966764544261,-8.857411783030454,1
AMAZONAS,BAGUA,2,84445,2.3684054710166382e-5,-10.648514759342746,73,0.7063232073772431,-12.032908245802142,-9.264121272883349,1
AMAZONAS,BAGUA,4,84445,4.7368109420332764e-5,-9.956463864177069,74,0.4997138544596859,-10.935903018918053,-8.977024709436085,1
AMAZONAS,BAGUA,2,84445,2.3684054710166382e-5,-10.648514759342746,75,0.7063232073772431,-12.032908245802142,-9.264121272883349,1
AMAZONAS,BAGUA,3,84445,3.552608206524957e-5,-10.24378037460987,76,0.5769178142163828,-11.37453929047398,-9.11302145874576,1
AMAZONAS,BAGUA,1,84445,1.1842027355083191e-5,-11.339472968064676,77,0.997805092390298,-13.29517094914966,-9.383774986979692,1
AMAZONAS,BAGUA,1,84445,1.1842027355083191e-5,-11.339472968064676,78,0.997805092390298,-13.29517094914966,-9.383774986979692,1
AMAZONAS,BAGUA,3,84445,3.552608206524957e-5,-10.24378037460987,79,0.5769178142163828,-11.37453929047398,-9.11302145874576,1
AMAZONAS,BAGUA,1,84445,1.1842027355083191e-5,-11.339472968064676,80,0.997805092390298,-13.29517094914966,-9.383774986979692,1
AMAZONAS,BAGUA,2,84445,2.3684054710166382e-5,-10.648514759342746,83,0.7063232073772431,-12.032908245802142,-9.264121272883349,1
AMAZONAS,BAGUA,1,84445,1.1842027355083191e-5,-11.339472968064676,84,0.997805092390298,-13.29517094914966,-9.383774986979692,1
AMAZONAS,BONGARA,0,27416,0,-16.771743399526496,0,1,-18.731743399526497,-14.811743399526495,1
AMAZONAS,BONGARA,0,27416,0,-16.771743399526496,1,1,-18.731743399526497,-14.811743399526495,1
AMAZONAS,BONGARA,0,27416,0,-16.771743399526496,2,1,-18.731743399526497,-14.811743399526495,1
AMAZONAS,BONGARA,1,27416,3.647505106507149e-5,-10.217457049962897,10,0.9992694962857317,-12.17602526268293,-8.258888837242864,1
AMAZONAS,BONGARA,1,27416,3.647505106507149e-5,-10.217457049962897,14,0.9992694962857317,-12.17602526268293,-8.258888837242864,1
AMAZONAS,BONGARA,1,27416,3.647505106507149e-5,-10.217457049962897,20,0.9992694962857317,-12.17602526268293,-8.258888837242864,1
AMAZONAS,BONGARA,1,27416,3.647505106507149e-5,-10.217457049962897,22,0.9992694962857317,-12.17602526268293,-8.258888837242864,1
AMAZONAS,BONGARA,1,27416,3.647505106507149e-5,-10.217457049962897,26,0.9992694962857317,-12.17602526268293,-8.258888837242864,1
AMAZONAS,BONGARA,4,27416,1.4590020426028595e-4,-8.832231258616732,28,0.4998744141022992,-9.811985110257238,-7.8524774069762255,1
AMAZONAS,BONGARA,2,27416,7.295010213014298e-5,-9.52502212236578,29,0.7068290257278163,-10.9104070127923,-8.13963723193926,1
AMAZONAS,BONGARA,2,27416,7.295010213014298e-5,-9.52502212236578,30,0.7068290257278163,-10.9104070127923,-8.13963723193926,1
AMAZONAS,BONGARA,1,27416,3.647505106507149e-5,-10.217457049962897,31,0.9992694962857317,-12.17602526268293,-8.258888837242864,1
AMAZONAS,BONGARA,2,27416,7.295010213014298e-5,-9.52502212236578,32,0.7068290257278163,-10.9104070127923,-8.13963723193926,1
AMAZONAS,BONGARA,1,27416,3.647505106507149e-5,-10.217457049962897,33,0.9992694962857317,-12.17602526268293,-8.258888837242864,1
AMAZONAS,BONGARA,3,27416,1.0942515319521448e-4,-9.119794544690803,36,0.5771815016541608,-10.251070287932958,-7.988518801448648,1
AMAZONAS,BONGARA,1,27416,3.647505106507149e-5,-10.217457049962897,37,0.9992694962857317,-12.17602526268293,-8.258888837242864,1
AMAZONAS,BONGARA,1,27416,3.647505106507149e-5,-10.217457049962897,42,0.9992694962857317,-12.17602526268293,-8.258888837242864,1
AMAZONAS,BONGARA,1,27416,3.647505106507149e-5,-10.217457049962897,44,0.9992694962857317,-12.17602526268293,-8.258888837242864,1
AMAZONAS,BONGARA,1,27416,3.647505106507149e-5,-10.217457049962897,45,0.9992694962857317,-12.17602526268293,-8.258888837242864,1
AMAZONAS,BONGARA,1,27416,3.647505106507149e-5,-10.217457049962897,46,0.9992694962857317,-12.17602526268293,-8.258888837242864,1
AMAZONAS,BONGARA,1,27416,3.647505106507149e-5,-10.217457049962897,48,0.9992694962857317,-12.17602526268293,-8.258888837242864,1
AMAZONAS,BONGARA,3,27416,1.0942515319521448e-4,-9.119794544690803,49,0.5771815016541608,-10.251070287932958,-7.988518801448648,1
AMAZONAS,BONGARA,2,27416,7.295010213014298e-5,-9.52502212236578,50,0.7068290257278163,-10.9104070127923,-8.13963723193926,1
AMAZONAS,BONGARA,1,27416,3.647505106507149e-5,-10.217457049962897,51,0.9992694962857317,-12.17602526268293,-8.258888837242864,1
AMAZONAS,BONGARA,1,27416,3.647505106507149e-5,-10.217457049962897,52,0.9992694962857317,-12.17602526268293,-8.258888837242864,1
AMAZONAS,BONGARA,1,27416,3.647505106507149e-5,-10.217457049962897,53,0.9992694962857317,-12.17602526268293,-8.258888837242864,1
AMAZONAS,BONGARA,2,27416,7.295010213014298e-5,-9.52502212236578,54,0.7068290257278163,-10.9104070127923,-8.13963723193926,1
AMAZONAS,BONGARA,2,27416,7.295010213014298e-5,-9.52502212236578,56,0.7068290257278163,-10.9104070127923,-8.13963723193926,1
AMAZONAS,BONGARA,1,27416,3.647505106507149e-5,-10.217457049962897,57,0.9992694962857317,-12.17602526268293,-8.258888837242864,1
AMAZONAS,BONGARA,2,27416,7.295010213014298e-5,-9.52502212236578,59,0.7068290257278163,-10.9104070127923,-8.13963723193926,1
AMAZONAS,BONGARA,4,27416,1.4590020426028595e-4,-8.832231258616732,60,0.4998744141022992,-9.811985110257238,-7.8524774069762255,1
AMAZONAS,BONGARA,4,27416,1.4590020426028595e-4,-8.832231258616732,61,0.4998744141022992,-9.811985110257238,-7.8524774069762255,1
AMAZONAS,BONGARA,5,27416,1.8237525532535746e-4,-8.609158985902635,64,0.4471090471423502,-9.485492718301641,-7.732825253503629,1
AMAZONAS,BONGARA,1,27416,3.647505106507149e-5,-10.217457049962897,65,0.9992694962857317,-12.17602526268293,-8.258888837242864,1
AMAZONAS,BONGARA,3,27416,1.0942515319521448e-4,-9.119794544690803,66,0.5771815016541608,-10.251070287932958,-7.988518801448648,1
AMAZONAS,BONGARA,2,27416,7.295010213014298e-5,-9.52502212236578,67,0.7068290257278163,-10.9104070127923,-8.13963723193926,1
AMAZONAS,BONGARA,1,27416,3.647505106507149e-5,-10.217457049962897,68,0.9992694962857317,-12.17602526268293,-8.258888837242864,1
AMAZONAS,BONGARA,1,27416,3.647505106507149e-5,-10.217457049962897,69,0.9992694962857317,-12.17602526268293,-8.258888837242864,1
AMAZONAS,BONGARA,1,27416,3.647505106507149e-5,-10.217457049962897,73,0.9992694962857317,-12.17602526268293,-8.258888837242864,1
AMAZONAS,BONGARA,1,27416,3.647505106507149e-5,-10.217457049962897,74,0.9992694962857317,-12.17602526268293,-8.258888837242864,1
AMAZONAS,BONGARA,1,27416,3.647505106507149e-5,-10.217457049962897,75,0.9992694962857317,-12.17602526268293,-8.258888837242864,1
AMAZONAS,BONGARA,1,27416,3.647505106507149e-5,-10.217457049962897,78,0.9992694962857317,-12.17602526268293,-8.258888837242864,1
AMAZONAS,BONGARA,1,27416,3.647505106507149e-5,-10.217457049962897,83,0.9992694962857317,-12.17602526268293,-8.258888837242864,1
AMAZONAS,BONGARA,1,27416,3.647505106507149e-5,-10.217457049962897,84,0.9992694962857317,-12.17602526268293,-8.258888837242864,1
AMAZONAS,CHACHAPOYAS,0,61379,0,-16.771743399526496,0,1,-18.731743399526497,-14.811743399526495,1
AMAZONAS,CHACHAPOYAS,0,61379,0,-16.771743399526496,1,1,-18.731743399526497,-14.811743399526495,1
AMAZONAS,CHACHAPOYAS,0,61379,0,-16.771743399526496,2,1,-18.731743399526497,-14.811743399526495,1
AMAZONAS,CHACHAPOYAS,1,61379,1.6292217207839814e-5,-11.021635523895048,13,0.9983993541225133,-12.978498257975174,-9.064772789814922,1
AMAZONAS,CHACHAPOYAS,2,61379,3.258443441567963e-5,-10.330080829403487,14,0.7065315494788257,-11.714882666381985,-8.945278992424988,1
AMAZONAS,CHACHAPOYAS,1,61379,1.6292217207839814e-5,-11.021635523895048,15,0.9983993541225133,-12.978498257975174,-9.064772789814922,1
AMAZONAS,CHACHAPOYAS,3,61379,4.887665162351944e-5,-9.925147114042003,18,0.5770291891596525,-11.056124324794922,-8.794169903289085,1
AMAZONAS,CHACHAPOYAS,1,61379,1.6292217207839814e-5,-11.021635523895048,19,0.9983993541225133,-12.978498257975174,-9.064772789814922,1
AMAZONAS,CHACHAPOYAS,1,61379,1.6292217207839814e-5,-11.021635523895048,21,0.9983993541225133,-12.978498257975174,-9.064772789814922,1
