"fecha_fallecimiento","sexo","dpt_cdc","prov_cdc","n"
2020-03-03,"MASCULINO","SAN MARTIN","HUALLAGA",1
2020-03-04,"MASCULINO","SAN MARTIN","MOYOBAMBA",1
2020-03-07,"FEMENINO","LORETO","MAYNAS",1
2020-03-08,"FEMENINO","CUSCO","CANCHIS",1
2020-03-11,"FEMENINO","PIURA","PIURA",1
2020-03-11,"MASCULINO","LIMA","CAÑETE",1
2020-03-14,"MASCULINO","LIMA","LIMA",1
2020-03-14,"MASCULINO","LORETO","REQUENA",1
2020-03-16,"FEMENINO","AYACUCHO","HUAMANGA",1
2020-03-16,"FEMENINO","LIMA","LIMA",1
2020-03-16,"MASCULINO","LIMA","LIMA",3
2020-03-17,"FEMENINO","ICA","PALPA",1
2020-03-17,"FEMENINO","JUNIN","CHANCHAMAYO",1
2020-03-17,"FEMENINO","LIMA","LIMA",1
2020-03-17,"MASCULINO","CUSCO","PARURO",1
2020-03-17,"MASCULINO","LORETO","MAYNAS",1
2020-03-17,"MASCULINO","UCAYALI","CORONEL PORTILLO",1
2020-03-18,"FEMENINO","LIMA","LIMA",1
2020-03-18,"MASCULINO","LAMBAYEQUE","CHICLAYO",1
2020-03-18,"MASCULINO","LIMA","LIMA",3
2020-03-18,"MASCULINO","LORETO","MAYNAS",1
2020-03-19,"FEMENINO","LIMA","LIMA",3
2020-03-19,"MASCULINO","LAMBAYEQUE","CHICLAYO",1
2020-03-19,"MASCULINO","LIMA","LIMA",4
2020-03-20,"FEMENINO","ICA","ICA",1
2020-03-20,"FEMENINO","LIMA","LIMA",1
2020-03-20,"FEMENINO","LORETO","MAYNAS",1
2020-03-20,"MASCULINO","LAMBAYEQUE","CHICLAYO",1
2020-03-20,"MASCULINO","LIMA","LIMA",2
2020-03-21,"MASCULINO","LAMBAYEQUE","CHICLAYO",2
2020-03-21,"MASCULINO","LIMA","LIMA",1
2020-03-21,"MASCULINO","PIURA","SULLANA",1
2020-03-21,"MASCULINO","UCAYALI","CORONEL PORTILLO",1
2020-03-22,"FEMENINO","CALLAO","CALLAO",1
2020-03-22,"MASCULINO","CALLAO","CALLAO",1
2020-03-22,"MASCULINO","LIMA","LIMA",1
2020-03-22,"MASCULINO","LORETO","MAYNAS",1
2020-03-22,"MASCULINO","PIURA","PIURA",1
2020-03-23,"FEMENINO","LIMA","LIMA",2
2020-03-23,"FEMENINO","MADRE DE DIOS","TAMBOPATA",1
2020-03-23,"MASCULINO","LIMA","LIMA",3
2020-03-24,"FEMENINO","LA LIBERTAD","TRUJILLO",1
2020-03-24,"FEMENINO","LORETO","ALTO AMAZONAS",1
2020-03-24,"MASCULINO","ANCASH","SANTA",1
