"prov_cdc","perc_essalud"
"YAULI",0.511289923248329
"CHINCHA",0.417083493651404
"ASCOPE",0.414635620886808
"OYON",0.395118101358588
"ILO",0.392624147677799
"ISLAY",0.391167313679517
"VIRU",0.390580997357134
"CALLAO",0.384790657359421
"MARISCAL NIETO",0.382980468429624
"ICA",0.382627663025294
"PASCO",0.375620859244808
"AREQUIPA",0.369584549824871
"TALARA",0.35463753035033
"LIMA",0.347589858581495
"JORGE BASADRE",0.327763854079644
"PISCO",0.32622857294486
"TRUJILLO",0.322334889321413
"NAZCA",0.316815362146999
"HUAURA",0.310832949030459
"CHICLAYO",0.310624941382437
"CUSCO",0.309612858253572
"SANTA",0.307544394651761
"CAÑETE",0.302654439551191
"PACASMAYO",0.288881114123833
"SAN MARTIN",0.273823765504027
"CASTILLA",0.272562371762467
"PIURA",0.271984596926642
"HUANCAYO",0.270282158664993
"CONDESUYOS",0.26988460106713
"BARRANCA",0.26544351403578
"TUMBES",0.257256617751449
"HUARAL",0.254858671654939
"PAITA",0.250739075539679
"TACNA",0.248812682993704
"CAMANA",0.229914098029308
"MAYNAS",0.229374450367394
"SULLANA",0.226409036326392
"HUAROCHIRI",0.224972052627053
"PALPA",0.223019951632406
"HUARMEY",0.221629581151832
"PUNO",0.219550420512634
"CHACHAPOYAS",0.218174611753684
"ABANCAY",0.216992399565689
"HUANUCO",0.216771132629168
"HUARAZ",0.213083154401718
"CAJAMARCA",0.212982122818447
"CHEPEN",0.211635083781785
"TAHUAMANU",0.211098035665792
"CONTRALMIRANTE VILLAR",0.202023080210856
"TAMBOPATA",0.192152430163087
"CORONEL PORTILLO",0.19179890048104
"CARAVELI",0.190731872490688
"AIJA",0.188410386320456
"HUANCAVELICA",0.187790081179272
"CASMA",0.184255427641256
"HUAMANGA",0.183193122461852
"PAUCAR DEL SARA SARA",0.18243313560204
"ESPINAR",0.18175818832274
"JUNIN",0.181385898932261
"JAUJA",0.180177042170628
"VICTOR FAJARDO",0.177781093042916
"ASUNCION",0.177283816752507
"ANGARAES",0.174365435811978
"LAMBAYEQUE",0.172605523536663
"MOYOBAMBA",0.1715850120541
"YAUYOS",0.171187020475981
"CAYLLOMA",0.170955734058614
"PARINACOCHAS",0.1708304710944
"GENERAL SANCHEZ CERRO",0.16878573831147
"URUBAMBA",0.168063353035117
"SUCRE",0.164637374272102
"FERREÑAFE",0.164502386696094
"CHUPACA",0.161791348984676
"SAN ROMAN",0.161640377727972
"LUCANAS",0.15646430798005
"LAURICOCHA",0.155871622693386
"HUARI",0.155601730422046
"PATAZ",0.153804712035005
"MORROPON",0.150752652335722
"TARMA",0.150373925661346
"PURUS",0.147202797202797
"LEONCIO PRADO",0.145939135946413
"SECHURA",0.143223410839006
"BOLOGNESI",0.142328864982981
"TOCACHE",0.139003372049457
"RECUAY",0.136165260401513
"CONTUMAZA",0.135846603834904
"ANTABAMBA",0.133598585322723
"JAEN",0.133326502437551
"OXAPAMPA",0.131908082771236
"HUANCA SANCOS",0.130455464383399
"CONCEPCION",0.129337482686046
"BAGUA",0.127813765182186
"CANCHIS",0.127038653496774
"CHANCHAMAYO",0.126246790195988
"SANTIAGO DE CHUCO",0.125825212197422
"CASTROVIRREYNA",0.124231154341296
"MARISCAL CACERES",0.123340451211587
"SANTA CRUZ",0.120143149284254
"ZARUMILLA",0.120076160838588
"COTABAMBAS",0.120045009475679
"ALTO AMAZONAS",0.119796292523936
"POMABAMBA",0.119706380575946
"LAMPA",0.119223614646564
"ANTONIO RAIMONDI",0.117142857142857
"MELGAR",0.116714826178915
"AYMARAES",0.115851400831036
"DANIEL ALCIDES CARRION",0.115167508031207
"ANDAHUAYLAS",0.11506418579841
"CANTA",0.113179771388985
"RIOJA",0.112351481916699
"TARATA",0.111421069904824
"CAJATAMBO",0.107943284037201
"LA UNION",0.107429640601855
"CORONGO",0.105682421667552
"HUALGAYOC",0.105242225187314
"DOS DE MAYO",0.103854711648325
"HUAYLAS",0.103596057194062
"UTCUBAMBA",0.102147579660005
"HUALLAGA",0.101650548971134
"GRAU",0.101638263816966
"RODRIGUEZ DE MENDOZA",0.101006733782252
"BONGARA",0.100830830440379
"UCAYALI",0.0985229789336896
"PICOTA",0.0982365273153286
"SIHUAS",0.093581995476623
"REQUENA",0.0923416109791321
"AMBO",0.0921580188679245
"HUAYTARA",0.0917840783904447
"CAJABAMBA",0.0908610461505939
"CARLOS FERMIN FITZCARRALD",0.0896314274425693
"LA CONVENCION",0.0896036643379455
"BOLIVAR",0.0888842775126236
"PUTUMAYO",0.0872750642673522
"HUANTA",0.0868598126662643
"PALLASCA",0.0867991996934996
"LORETO",0.0853340166888223
"CHOTA",0.0843660829183685
