"prov_cdc","area"
"CHACHAPOYAS",2907997966.0944
"BAGUA",5791956302.41366
"BONGARA",2833597787.80155
"CONDORCANQUI",17865928141.695
"LUYA",3306824492.98559
"RODRIGUEZ DE MENDOZA",2582334980.43717
"UTCUBAMBA",3985831057.30696
"HUARAZ",2506978842.49744
"AIJA",695464710.468705
"ANTONIO RAIMONDI",558890387.425151
"ASUNCION",527759984.509034
"BOLOGNESI",3127042025.86945
"CARHUAZ",813338640.652823
"CARLOS FERMIN FITZCARRALD",626985198.095687
"CASMA",2270830298.36162
"CORONGO",1015118423.37201
"HUARI",2790223332.78986
"HUARMEY",3917746458.2376
"HUAYLAS",2286621039.58604
"MARISCAL LUZURIAGA",736116016.202016
"OCROS",1911454925.96618
"PALLASCA",2066893223.35262
"POMABAMBA",921303908.343199
"RECUAY",2326389249.77588
"SANTA",3972620689.92264
"SIHUAS",1455935380.28719
"YUNGAY",1362855261.21242
"ABANCAY",3456319562.21179
"ANDAHUAYLAS",4035716406.88775
"ANTABAMBA",3228595548.73423
"AYMARAES",4128260189.95641
"COTABAMBAS",2619525163.11455
"CHINCHEROS",1508313656.87486
"GRAU",2128187613.87093
"AREQUIPA",9597648705.01507
"CAMANA",3996590798.93537
"CARAVELI",13006977456.9235
"CASTILLA",6920464483.63335
"CAYLLOMA",14074973592.457
"CONDESUYOS",6848164338.64037
"ISLAY",3838335832.77692
"LA UNION",4892760344.50631
"HUAMANGA",3053888058.6972
"CANGALLO",1870343034.27494
"HUANCA SANCOS",2839085003.29817
"HUANTA",3877186076.6369
"LA MAR",4229717018.8341
"LUCANAS",14474229702.2694
"PARINACOCHAS",5874483754.51469
"PAUCAR DEL SARA SARA",2083071008.30262
"SUCRE",1784925124.61906
"VICTOR FAJARDO",2265453532.09401
"VILCAS HUAMAN",1178080495.26969
"CAJAMARCA",2974852892.87685
"CAJABAMBA",1785785544.17604
"CELENDIN",2648549583.90465
"CHOTA",3758467307.84132
"CONTUMAZA",2070054355.71903
"CUTERVO",3026212816.37926
"HUALGAYOC",787561240.54573
"JAEN",5062289166.08533
"SAN IGNACIO",4786685260.12364
"SAN MARCOS",1352633260.88744
"SAN MIGUEL",2535235878.56621
"SAN PABLO",664814751.147983
"SANTA CRUZ",1380661401.61323
"CALLAO",140342994.040941
"CUSCO",529207147.030098
"ACOMAYO",930588303.789514
"ANTA",1941392671.51323
"CALCA",3533253365.65152
"CANAS",2081092966.36577
"CANCHIS",3948079355.64542
"CHUMBIVILCAS",5346387040.83299
"ESPINAR",5234276363.40696
"LA CONVENCION",31863936239.6442
"PARURO",1966339199.88081
"PAUCARTAMBO",5783694667.27582
"QUISPICANCHI",7347182679.61383
"URUBAMBA",1445373010.27161
"HUANCAVELICA",4196880609.92747
"ACOBAMBA",927057288.916974
"ANGARAES",1942417304.90685
"CASTROVIRREYNA",3955634064.23913
"CHURCAMPA",1205543163.96988
"HUAYTARA",6469540646.89456
"TAYACAJA",3381854393.42079
"HUANUCO",3637944698.12055
"AMBO",1572286785.63718
"DOS DE MAYO",1488913037.40244
"HUACAYBAMBA",1703800995.43278
"HUAMALIES",3158586219.00335
"LEONCIO PRADO",4908379920.19904
"MARAÑON",4948895772.93687
"PACHITEA",3084355994.08905
"PUERTO INCA",10371891547.9082
"LAURICOCHA",1922258939.99376
"YAROWILCA",732135758.374816
"ICA",7825126287.31591
"CHINCHA",2909604289.09575
"NAZCA",5191539216.60751
"PALPA",1217984742.34088
"PISCO",3950442350.1408
"HUANCAYO",3736493681.47423
"CONCEPCION",2253799359.5472
"CHANCHAMAYO",4681888850.9739
"JAUJA",4357310108.68943
"JUNIN",2497090616.83997
"SATIPO",19158028988.6183
"TARMA",2672342432.3804
"YAULI",3637871329.90668
"CHUPACA",1155624153.53923
"TRUJILLO",1775576692.21409
"ASCOPE",2641537131.1261
"BOLIVAR",1733762451.03365
"CHEPEN",1146838286.89532
"JULCAN",1109304518.5456
"OTUZCO",2077566399.4821
"PACASMAYO",1111167053.10987
"PATAZ",3992147287.85199
"SANCHEZ CARRION",2497501458.48111
"SANTIAGO DE CHUCO",2669513362.02895
"GRAN CHIMU",1288311684.45902
"VIRU",3183174943.54143
"CHICLAYO",3327717995.46534
"FERREÑAFE",1574899125.98613
"LAMBAYEQUE",9595963889.29699
"LIMA",2641186031.67193
"BARRANCA",1390576128.26245
"CAJATAMBO",1526529898.72684
"CANTA",1735495522.14705
"CAÑETE",4518129490.77126
