"prov","nomdep","prov_cdc","retor_llegaron","retor_salieron"
"0101","AMAZONAS","CHACHAPOYAS",594.289869727101,1132.24253464513
"0102","AMAZONAS","BAGUA",1200.10749675974,413.646359297214
"0103","AMAZONAS","BONGARA",817.650641259504,0
"0104","AMAZONAS","CONDORCANQUI",394.19404058333,0
"0105","AMAZONAS","LUYA",1891.91630912432,0
"0106","AMAZONAS","RODRIGUEZ DE MENDOZA",845.587294471101,0
"0107","AMAZONAS","UTCUBAMBA",1770.20369535626,770.16221004515
"0201","ANCASH","HUARAZ",777.177919576177,2862.16525166947
"0202","ANCASH","AIJA",529.184177358868,0
"0203","ANCASH","ANTONIO RAIMONDI",644.506481776363,0
"0204","ANCASH","ASUNCION",379.359861866687,0
"0205","ANCASH","BOLOGNESI",1069.72848690837,0
"0206","ANCASH","CARHUAZ",997.23828196933,0
"0207","ANCASH","CARLOS FERMIN FITZCARRALD",745.92307436734,0
"0208","ANCASH","CASMA",167.397885449696,248.618155544158
"0209","ANCASH","CORONGO",352.739418469137,0
"0210","ANCASH","HUARI",2623.90986359795,0
"0211","ANCASH","HUARMEY",165.628424691269,152.740136829903
"0212","ANCASH","HUAYLAS",863.929734832374,150.587471199455
"0213","ANCASH","MARISCAL LUZURIAGA",714.623581112712,0
"0214","ANCASH","OCROS",327.788205055753,0
"0215","ANCASH","PALLASCA",1358.6378383931,0
"0216","ANCASH","POMABAMBA",989.069865732919,0
"0217","ANCASH","RECUAY",880.439334108727,0
"0218","ANCASH","SANTA",736.038276864914,2159.47542285174
"0219","ANCASH","SIHUAS",1228.60097493813,0
"0220","ANCASH","YUNGAY",1324.95435990463,0
"0301","APURIMAC","ABANCAY",1082.61840692558,2148.02048082487
"0302","APURIMAC","ANDAHUAYLAS",1918.92230667942,661.714935315307
"0303","APURIMAC","ANTABAMBA",680.325457015308,0
"0304","APURIMAC","AYMARAES",1431.8142028834,0
"0305","APURIMAC","COTABAMBAS",1585.99511833,0
"0306","APURIMAC","CHINCHEROS",1711.91734931269,0
