"prov_cdc","date","mob"
"ABANCAY",2020-03-02,2.66666666666667
"ABANCAY",2020-03-03,2.16666666666667
"ABANCAY",2020-03-04,-1.16666666666667
"ABANCAY",2020-03-05,-0.333333333333333
"ABANCAY",2020-03-06,0.166666666666667
"ABANCAY",2020-03-07,1.33333333333333
"ABANCAY",2020-03-08,6
"ABANCAY",2020-03-09,0.166666666666667
"ABANCAY",2020-03-10,0
"ABANCAY",2020-03-11,-1.83333333333333
"ABANCAY",2020-03-12,-1.83333333333333
"ABANCAY",2020-03-13,-5.66666666666667
"ABANCAY",2020-03-14,-2.5
"ABANCAY",2020-03-15,-2
"ABANCAY",2020-03-16,-3.33333333333333
"ABANCAY",2020-03-17,-61.6
"ABANCAY",2020-03-18,-68.2
"ABANCAY",2020-03-19,-69.2
"ABANCAY",2020-03-20,-68.5
"ABANCAY",2020-03-21,-69.2
"ABANCAY",2020-03-22,-64.6
"ABANCAY",2020-03-23,-71.6
"ABANCAY",2020-03-24,-67
"ABANCAY",2020-03-25,-71.2
"ABANCAY",2020-03-26,-71
"ABANCAY",2020-03-27,-70.8
"ABANCAY",2020-03-28,-64.6
"ABANCAY",2020-03-29,-63.4
"ABANCAY",2020-03-30,-66
"ABANCAY",2020-03-31,-65.75
"ABANCAY",2020-04-01,-66.5
"ABANCAY",2020-04-02,-70.4
"ABANCAY",2020-04-03,-73.4
"ABANCAY",2020-04-04,-72.2
"ABANCAY",2020-04-05,-74.6666666666667
"ABANCAY",2020-04-06,-68
"ABANCAY",2020-04-07,-68
"ABANCAY",2020-04-08,-65.2
"ABANCAY",2020-04-09,-83
"ABANCAY",2020-04-10,-83.6666666666667
"ABANCAY",2020-04-11,-68
"ABANCAY",2020-04-12,-75
"ABANCAY",2020-04-13,-66.6
"ABANCAY",2020-04-14,-66.75
"ABANCAY",2020-04-15,-69.5
"ABANCAY",2020-04-16,-68.5
"ABANCAY",2020-04-17,-73.2
"ABANCAY",2020-04-18,-69.8
"ABANCAY",2020-04-19,-75
"ABANCAY",2020-04-20,-70
"ABANCAY",2020-04-21,-75.5
"ABANCAY",2020-04-22,-67.75
"ABANCAY",2020-04-23,-70
"ABANCAY",2020-04-24,-68
"ABANCAY",2020-04-25,-65.8
"ABANCAY",2020-04-26,-73.6666666666667
"ABANCAY",2020-04-27,-64.5
"ABANCAY",2020-04-28,-64
"ABANCAY",2020-04-29,-66.25
"ABANCAY",2020-04-30,-66.8
"ABANCAY",2020-05-01,-70.75
"ABANCAY",2020-05-02,-67.4
"ABANCAY",2020-05-03,-75.3333333333333
"ABANCAY",2020-05-04,-65.6
"ABANCAY",2020-05-05,-65.2
"ABANCAY",2020-05-06,-68.2
"ABANCAY",2020-05-07,-64.75
"ABANCAY",2020-05-08,-63.75
"ABANCAY",2020-05-09,-54.5
"ABANCAY",2020-05-10,-69.6666666666667
"ABANCAY",2020-05-11,-62
"ABANCAY",2020-05-12,-61.25
"ABANCAY",2020-05-13,-60.25
"ABANCAY",2020-05-14,-59.25
"ABANCAY",2020-05-15,-59.5
"ABANCAY",2020-05-16,-55
"ABANCAY",2020-05-17,-75.75
"ABANCAY",2020-05-18,-54.75
"ABANCAY",2020-05-19,-56.5
"ABANCAY",2020-05-20,-59.5
"ABANCAY",2020-05-21,-58.25
"ABANCAY",2020-05-22,-57.5
"ABANCAY",2020-05-23,-52.25
"ABANCAY",2020-05-24,-76
"ABANCAY",2020-05-25,-52
"ABANCAY",2020-05-26,-53.5
"ABANCAY",2020-05-27,-53.25
"ABANCAY",2020-05-28,-53.25
"ABANCAY",2020-05-29,-53.5
"ABANCAY",2020-05-30,-47
"ABANCAY",2020-05-31,-75.75
"ABANCAY",2020-06-01,-34
"ABANCAY",2020-06-02,-33.6
"ABANCAY",2020-06-03,-53.25
"ABANCAY",2020-06-04,-51.5
"ABANCAY",2020-06-05,-51.5
"ABANCAY",2020-06-06,-45.25
"ABANCAY",2020-06-07,-70
"ABANCAY",2020-06-08,-39.6666666666667
"ABANCAY",2020-06-09,-33.8
"ABANCAY",2020-06-10,-34.6
"ABANCAY",2020-06-11,-35.8
"ABANCAY",2020-06-12,-51
"ABANCAY",2020-06-13,-43
"ABANCAY",2020-06-14,-69
"ABANCAY",2020-06-15,-31.2
"ABANCAY",2020-06-16,-30.6
"ABANCAY",2020-06-17,-33.2
"ABANCAY",2020-06-18,-32.4
"ABANCAY",2020-06-19,-40.5
"ABANCAY",2020-06-20,-44.8
"ABANCAY",2020-06-21,-73
"ABANCAY",2020-06-22,-32.8
"ABANCAY",2020-06-23,-31.8
"ABANCAY",2020-06-24,-40.6666666666667
"ABANCAY",2020-06-25,-40.1666666666667
"ABANCAY",2020-06-26,-54
"ABANCAY",2020-06-27,-47.2
"ABANCAY",2020-06-28,-74.25
"ABANCAY",2020-06-29,-53
"ABANCAY",2020-06-30,-27.4
"ABANCAY",2020-07-01,-28.2
"ABANCAY",2020-07-02,-35.1666666666667
"ABANCAY",2020-07-03,-35.5
"ABANCAY",2020-07-04,-43.2
"ABANCAY",2020-07-05,-57
"ABANCAY",2020-07-06,-25.4
"ABANCAY",2020-07-07,-24.8
"ABANCAY",2020-07-08,-27
"ABANCAY",2020-07-09,-34.1666666666667
"ABANCAY",2020-07-10,-35.1666666666667
"ABANCAY",2020-07-11,-39.4
"ABANCAY",2020-07-12,-53.2
"ABANCAY",2020-07-13,-24.4
"ABANCAY",2020-07-14,-25.4
"ABANCAY",2020-07-15,-28
"ABANCAY",2020-07-16,-24.4
"ABANCAY",2020-07-17,-32
"ABANCAY",2020-07-18,-36.2
"ABANCAY",2020-07-19,-44.2
"ABANCAY",2020-07-20,-20.8
"ABANCAY",2020-07-21,-20.6
"ABANCAY",2020-07-22,-22.6
"ABANCAY",2020-07-23,-22.2
"ABANCAY",2020-07-24,-27.3333333333333
"ABANCAY",2020-07-25,-25.2
"ABANCAY",2020-07-26,-33.25
"ABANCAY",2020-07-27,-23.2
"ABANCAY",2020-07-28,-45.75
"ABANCAY",2020-07-29,-25
"ABANCAY",2020-07-30,-25.6
"ABANCAY",2020-07-31,-28
"ABANCAY",2020-08-01,-36.4
"ABANCAY",2020-08-02,-73.75
"ABANCAY",2020-08-03,-24.2
"ABANCAY",2020-08-04,-25.8
"ABANCAY",2020-08-05,-27.4
"ABANCAY",2020-08-06,-28
"ABANCAY",2020-08-07,-33.8333333333333
"ABANCAY",2020-08-08,-37.2
"ABANCAY",2020-08-09,-72.5
"ABANCAY",2020-08-10,-25.4
"ABANCAY",2020-08-11,-25.6
"ABANCAY",2020-08-12,-27.8
"ABANCAY",2020-08-13,-27
"ABANCAY",2020-08-14,-33.3333333333333
"ABANCAY",2020-08-15,-35.2
"ABANCAY",2020-08-16,-75
"ABANCAY",2020-08-17,24
"ABANCAY",2020-08-18,25
"ABANCAY",2020-08-19,26
"ABANCAY",2020-08-20,27
"ABANCAY",2020-08-21,29
"ABANCAY",2020-08-23,-68
"ABANCAY",2020-08-24,24
"ABANCAY",2020-08-25,25
"ABANCAY",2020-08-26,25
"ABANCAY",2020-08-27,27
"ABANCAY",2020-08-28,29
"ABANCAY",2020-08-30,-69
"ABANCAY",2020-08-31,24
"ABANCAY",2020-09-01,25
"ABANCAY",2020-09-02,26
"ABANCAY",2020-09-03,27
"ABANCAY",2020-09-04,28
"ABANCAY",2020-09-06,-69
"ABANCAY",2020-09-07,25
"ABANCAY",2020-09-08,24
"ABANCAY",2020-09-09,24
"ABANCAY",2020-09-10,25
"ABANCAY",2020-09-11,-29.5
"ABANCAY",2020-09-12,-28.6
"ABANCAY",2020-09-13,-76
"ABANCAY",2020-09-14,-23.6
"ABANCAY",2020-09-15,-23
"ABANCAY",2020-09-16,-26
"ABANCAY",2020-09-17,-26
"ABANCAY",2020-09-18,-29
"ABANCAY",2020-09-19,-28.8
"ABANCAY",2020-09-20,-75.4
"ABANCAY",2020-09-21,-24
"ABANCAY",2020-09-22,-24.6666666666667
"ABANCAY",2020-09-23,-27.5
"ABANCAY",2020-09-24,-27.6666666666667
"ABANCAY",2020-09-25,-28.3333333333333
"ABANCAY",2020-09-26,-20.3333333333333
"ABANCAY",2020-09-27,-77.4
"ABANCAY",2020-09-28,-21.2
"ABANCAY",2020-09-29,-23.2
"ABANCAY",2020-09-30,-29.5
"ABANCAY",2020-10-01,-24.8
"ABANCAY",2020-10-02,-26.3333333333333
"ABANCAY",2020-10-03,-19
"ABANCAY",2020-10-04,-77.6
"ABANCAY",2020-10-05,-19.8333333333333
"ABANCAY",2020-10-06,-18.5
"ABANCAY",2020-10-07,-21.8333333333333
"ABANCAY",2020-10-08,-24.3333333333333
"ABANCAY",2020-10-09,-21.6666666666667
"ABANCAY",2020-10-10,-15.8333333333333
"ABANCAY",2020-10-11,-73.8
"ABANCAY",2020-10-12,-15.6666666666667
"ABANCAY",2020-10-13,-19.5
"ABANCAY",2020-10-14,-18.5
"ABANCAY",2020-10-15,-17.6666666666667
"ABANCAY",2020-10-16,-17.6666666666667
"ABANCAY",2020-10-17,-12
"ABANCAY",2020-10-18,-72.8
"ABANCAY",2020-10-19,-12.5
"ABANCAY",2020-10-20,-13.5
"ABANCAY",2020-10-21,-16.8333333333333
"ABANCAY",2020-10-22,-14.5
"ABANCAY",2020-10-23,-19.1666666666667
"ABANCAY",2020-10-24,-9
"ABANCAY",2020-10-25,-55.75
"ABANCAY",2020-10-26,-11
"ABANCAY",2020-10-27,-10
"ABANCAY",2020-10-28,-16
"ABANCAY",2020-10-29,-17
"ABANCAY",2020-10-30,-15.8333333333333
"ABANCAY",2020-10-31,-8.16666666666667
"ABANCAY",2020-11-01,-47.8
"ABANCAY",2020-11-02,-16.1666666666667
"ABANCAY",2020-11-03,-12.1666666666667
"ABANCAY",2020-11-04,-13.8333333333333
"ABANCAY",2020-11-05,-13.1666666666667
"ABANCAY",2020-11-06,-15.5
"ABANCAY",2020-11-07,-9.83333333333333
"ABANCAY",2020-11-08,-44.4
"ABANCAY",2020-11-09,-11.5
"ABANCAY",2020-11-10,-11.8333333333333
"ABANCAY",2020-11-11,-14.8333333333333
"ABANCAY",2020-11-12,-13.1666666666667
"ABANCAY",2020-11-13,-20
"ABANCAY",2020-11-14,-9.83333333333333
"ABANCAY",2020-11-15,-38.2
"ABANCAY",2020-11-16,-11.8333333333333
"ABANCAY",2020-11-17,-13.1666666666667
"ABANCAY",2020-11-18,-15.1666666666667
"ABANCAY",2020-11-19,-14.5
"ABANCAY",2020-11-20,-15.8333333333333
"ABANCAY",2020-11-21,-9.5
"ABANCAY",2020-11-22,-27.1666666666667
"ABANCAY",2020-11-23,-13.8333333333333
"ABANCAY",2020-11-24,-10.8333333333333
"ABANCAY",2020-11-25,-13
"ABANCAY",2020-11-26,-11.1666666666667
"ABANCAY",2020-11-27,-13.8333333333333
"ABANCAY",2020-11-28,-27.1666666666667
"ABANCAY",2020-11-29,-23.5
"ABANCAY",2020-11-30,-9.83333333333333
"ABANCAY",2020-12-01,-11.8333333333333
"ABANCAY",2020-12-02,-15.1666666666667
"ABANCAY",2020-12-03,-14
"ABANCAY",2020-12-04,-14.1666666666667
"ABANCAY",2020-12-05,-7.83333333333333
"ABANCAY",2020-12-06,-21
"ABANCAY",2020-12-07,-8.83333333333333
"ABANCAY",2020-12-08,-13.5
"ABANCAY",2020-12-09,-10.3333333333333
"ABANCAY",2020-12-10,-10.6666666666667
"ABANCAY",2020-12-11,-14.5
"ABANCAY",2020-12-12,-7
"ABANCAY",2020-12-13,-17.6666666666667
"ABANCAY",2020-12-14,-6.66666666666667
"ABANCAY",2020-12-15,-3.66666666666667
"ABANCAY",2020-12-16,-8.66666666666667
"ABANCAY",2020-12-17,-4.66666666666667
"ABANCAY",2020-12-18,-7.33333333333333
"ABANCAY",2020-12-19,3.5
"ABANCAY",2020-12-20,-13.1666666666667
"ABANCAY",2020-12-21,3.33333333333333
"ABANCAY",2020-12-22,2.5
"ABANCAY",2020-12-23,7.83333333333333
"ABANCAY",2020-12-24,-1.33333333333333
"ABANCAY",2020-12-25,-45
"ABANCAY",2020-12-26,-10.6666666666667
"ABANCAY",2020-12-27,-15.3333333333333
"ABANCAY",2020-12-28,-9.33333333333333
"ABANCAY",2020-12-29,-0.166666666666667
"ABANCAY",2020-12-30,0
"ABANCAY",2020-12-31,-3.4
"ABANCAY",2021-01-01,-44.1666666666667
"ABANCAY",2021-01-02,-13
"ABANCAY",2021-01-03,-15.6666666666667
"ABANCAY",2021-01-04,-7
"ABANCAY",2021-01-05,-5.16666666666667
"ABANCAY",2021-01-06,-9
"ABANCAY",2021-01-07,-8.83333333333333
"ABANCAY",2021-01-08,-8.16666666666667
"ABANCAY",2021-01-09,-4.83333333333333
"ABANCAY",2021-01-10,-13.1666666666667
"ABANCAY",2021-01-11,-4
"ABANCAY",2021-01-12,-7.16666666666667
"ABANCAY",2021-01-13,-13.1666666666667
"ABANCAY",2021-01-14,-16.6666666666667
"ABANCAY",2021-01-15,-20.6666666666667
"ABANCAY",2021-01-16,-16.8333333333333
"ABANCAY",2021-01-17,-50.25
"ABANCAY",2021-01-18,-15
"ABANCAY",2021-01-19,-13.3333333333333
"ABANCAY",2021-01-20,-18.3333333333333
"ABANCAY",2021-01-21,-16.3333333333333
"ABANCAY",2021-01-22,-18.1666666666667
"ABANCAY",2021-01-23,-12.8333333333333
"ABANCAY",2021-01-24,-48.4
"ABANCAY",2021-01-25,-14
"ABANCAY",2021-01-26,-14.3333333333333
"ABANCAY",2021-01-27,-13
"ABANCAY",2021-01-28,-7.16666666666667
"ABANCAY",2021-01-29,-3.83333333333333
"ABANCAY",2021-01-30,3.5
"ABANCAY",2021-01-31,-67.4
"ABANCAY",2021-02-01,-37.1666666666667
"ABANCAY",2021-02-02,-35
"ABANCAY",2021-02-03,-40.8333333333333
"ABANCAY",2021-02-04,-39.3333333333333
"ABANCAY",2021-02-05,-41.1666666666667
"ABANCAY",2021-02-06,-34.1666666666667
"ABANCAY",2021-02-07,-75.2
"ABANCAY",2021-02-08,-37.1666666666667
"ABANCAY",2021-02-09,-35.3333333333333
"ABANCAY",2021-02-10,-36.1666666666667
"ABANCAY",2021-02-11,-34.8333333333333
"ABANCAY",2021-02-12,-35.8333333333333
"ABANCAY",2021-02-13,-28.5
"ABANCAY",2021-02-14,-68.2
"ABANCAY",2021-02-15,-33
"ABANCAY",2021-02-16,-31.5
"ABANCAY",2021-02-17,-31.8333333333333
"ABANCAY",2021-02-18,-30
"ABANCAY",2021-02-19,-31.8333333333333
"ABANCAY",2021-02-20,-27.8333333333333
"ABANCAY",2021-02-21,-69.2
"ABANCAY",2021-02-22,-27.8333333333333
"ABANCAY",2021-02-23,-27.3333333333333
"ABANCAY",2021-02-24,-28
"ABANCAY",2021-02-25,-27.3333333333333
"ABANCAY",2021-02-26,-28.1666666666667
"ABANCAY",2021-02-27,-21.3333333333333
"ABANCAY",2021-02-28,-63.4
"ABANCAY",2021-03-01,-12.6666666666667
"ABANCAY",2021-03-02,-13.6666666666667
"ABANCAY",2021-03-03,-17.3333333333333
"ABANCAY",2021-03-04,-18.8333333333333
"ABANCAY",2021-03-05,-16.5
"ABANCAY",2021-03-06,-10.6666666666667
"ABANCAY",2021-03-07,-59.8
"ABANCAY",2021-03-08,-9.16666666666667
"ABANCAY",2021-03-09,-14
"ABANCAY",2021-03-10,-14
"ABANCAY",2021-03-11,-11.6666666666667
"ABANCAY",2021-03-12,-13.1666666666667
"ABANCAY",2021-03-13,-7.16666666666667
"ABANCAY",2021-03-14,-56.6
"ABANCAY",2021-03-15,-10.1666666666667
"ABANCAY",2021-03-16,-19
"ABANCAY",2021-03-17,-21.8333333333333
"ABANCAY",2021-03-18,-20.1666666666667
"ABANCAY",2021-03-19,-19.3333333333333
"ABANCAY",2021-03-20,-10.3333333333333
"ABANCAY",2021-03-21,-59.4
"ABANCAY",2021-03-22,-16
"ABANCAY",2021-03-23,-12.1666666666667
"ABANCAY",2021-03-24,-11.5
"ABANCAY",2021-03-25,-12.3333333333333
"ABANCAY",2021-03-26,-14
"ABANCAY",2021-03-27,-6
"ABANCAY",2021-03-28,-53.4
"ABANCAY",2021-03-29,-10.5
"ABANCAY",2021-03-30,-8
"ABANCAY",2021-03-31,-5.5
"ABANCAY",2021-04-01,-38.5
"ABANCAY",2021-04-02,-52.5
"ABANCAY",2021-04-03,-35.3333333333333
"ABANCAY",2021-04-04,-57.4
"ABANCAY",2021-04-05,-3.5
"ABANCAY",2021-04-06,-8.83333333333333
"ABANCAY",2021-04-07,-13.6666666666667
"ABANCAY",2021-04-08,-9.16666666666667
"ABANCAY",2021-04-09,-12.8333333333333
"ABANCAY",2021-04-10,-9
"ABANCAY",2021-04-11,-23.8333333333333
"ABANCAY",2021-04-12,-12.8333333333333
"ABANCAY",2021-04-13,-9.33333333333333
"ABANCAY",2021-04-14,-13.6666666666667
"ABANCAY",2021-04-15,-12.1666666666667
"ABANCAY",2021-04-16,-14.6666666666667
"ABANCAY",2021-04-17,-6.66666666666667
"ABANCAY",2021-04-18,-46.2
"ABANCAY",2021-04-19,-9
"ABANCAY",2021-04-20,-11
"ABANCAY",2021-04-21,-14
"ABANCAY",2021-04-22,-11.6666666666667
"ABANCAY",2021-04-23,-12.8333333333333
"ABANCAY",2021-04-24,-5.83333333333333
"ABANCAY",2021-04-25,-58
"ABANCAY",2021-04-26,-10.3333333333333
"ABANCAY",2021-04-27,-8.33333333333333
"ABANCAY",2021-04-28,-10.1666666666667
"ABANCAY",2021-04-29,-11.3333333333333
"ABANCAY",2021-04-30,-8.66666666666667
"ABANCAY",2021-05-01,-9
"ABANCAY",2021-05-02,-57
"ABANCAY",2021-05-03,-5.83333333333333
"ABANCAY",2021-05-04,-4.66666666666667
"ABANCAY",2021-05-05,-12.3333333333333
"ABANCAY",2021-05-06,-7.5
"ABANCAY",2021-05-07,-7
"ABANCAY",2021-05-08,8.66666666666667
"ABANCAY",2021-05-09,-50.6
"ABANCAY",2021-05-10,-8.33333333333333
"ABANCAY",2021-05-11,-5.83333333333333
"ABANCAY",2021-05-12,-11.3333333333333
"ABANCAY",2021-05-13,-9.83333333333333
"ABANCAY",2021-05-14,-9.66666666666667
"ABANCAY",2021-05-15,0
"ABANCAY",2021-05-16,-51.6
"ABANCAY",2021-05-17,-3.66666666666667
"ABANCAY",2021-05-18,-3.66666666666667
"ABANCAY",2021-05-19,-7.33333333333333
"ABANCAY",2021-05-20,-5.16666666666667
"ABANCAY",2021-05-21,-6.83333333333333
"ABANCAY",2021-05-22,3.5
"ABANCAY",2021-05-23,-49.2
"ABANCAY",2021-05-24,-5.16666666666667
"ABANCAY",2021-05-25,-5.33333333333333
"ABANCAY",2021-05-26,-6.66666666666667
"ABANCAY",2021-05-27,-2.33333333333333
"ABANCAY",2021-05-28,-0.166666666666667
"ABANCAY",2021-05-29,4.33333333333333
"ABANCAY",2021-05-30,-43.4
"ABANCAY",2021-05-31,0.666666666666667
"ABANCAY",2021-06-01,3.5
"ABANCAY",2021-06-02,0
"ABANCAY",2021-06-03,-1.83333333333333
"ABANCAY",2021-06-04,-1.33333333333333
"ABANCAY",2021-06-05,3.83333333333333
"ABANCAY",2021-06-06,-11
"ABANCAY",2021-06-07,-1.33333333333333
"ABANCAY",2021-06-08,2.16666666666667
"ABANCAY",2021-06-09,-0.166666666666667
"ABANCAY",2021-06-10,1.83333333333333
"ABANCAY",2021-06-11,1.5
"ABANCAY",2021-06-12,8.5
"ABANCAY",2021-06-13,-33.8
"ABANCAY",2021-06-14,2.5
"ABANCAY",2021-06-15,4.16666666666667
