"dpt_cdc","prov_cdc","pob","id","id_dpt"
"AMAZONAS","CHACHAPOYAS",61379,1,1
"AMAZONAS","BAGUA",84445,2,1
"AMAZONAS","BONGARA",27416,3,1
"AMAZONAS","CONDORCANQUI",51796,4,1
"AMAZONAS","LUYA",48552,5,1
"AMAZONAS","RODRIGUEZ DE MENDOZA",32524,6,1
"AMAZONAS","UTCUBAMBA",120694,7,1
"ANCASH","HUARAZ",181637,8,2
"ANCASH","AIJA",6763,9,2
"ANCASH","ANTONIO RAIMONDI",14714,10,2
"ANCASH","ASUNCION",8092,11,2
"ANCASH","BOLOGNESI",25592,12,2
"ANCASH","CARHUAZ",49800,13,2
"ANCASH","CARLOS FERMIN FITZCARRALD",19351,14,2
"ANCASH","CASMA",55308,15,2
"ANCASH","CORONGO",8115,16,2
"ANCASH","HUARI",64695,17,2
"ANCASH","HUARMEY",32734,18,2
"ANCASH","HUAYLAS",57148,19,2
"ANCASH","MARISCAL LUZURIAGA",22408,20,2
"ANCASH","OCROS",7579,21,2
"ANCASH","PALLASCA",25713,22,2
"ANCASH","POMABAMBA",27375,23,2
"ANCASH","RECUAY",18492,24,2
"ANCASH","SANTA",468829,25,2
"ANCASH","SIHUAS",29510,26,2
"ANCASH","YUNGAY",56783,27,2
"APURIMAC","ABANCAY",117485,28,3
"APURIMAC","ANDAHUAYLAS",151896,29,3
"APURIMAC","ANTABAMBA",11783,30,3
"APURIMAC","AYMARAES",24868,31,3
"APURIMAC","COTABAMBAS",54762,32,3
"APURIMAC","CHINCHEROS",47855,33,3
"APURIMAC","GRAU",22087,34,3
"AREQUIPA","AREQUIPA",1165606,35,4
"AREQUIPA","CAMANA",63248,36,4
"AREQUIPA","CARAVELI",44179,37,4
"AREQUIPA","CASTILLA",37741,38,4
"AREQUIPA","CAYLLOMA",96625,39,4
"AREQUIPA","CONDESUYOS",17926,40,4
"AREQUIPA","ISLAY",58026,41,4
"AREQUIPA","LA UNION",14087,42,4
"AYACUCHO","HUAMANGA",305662,43,5
"AYACUCHO","CANGALLO",33223,44,5
"AYACUCHO","HUANCA SANCOS",8711,45,5
"AYACUCHO","HUANTA",99310,46,5
"AYACUCHO","LA MAR",79071,47,5
"AYACUCHO","LUCANAS",54415,48,5
"AYACUCHO","PARINACOCHAS",29774,49,5
"AYACUCHO","PAUCAR DEL SARA SARA",9960,50,5
"AYACUCHO","SUCRE",9565,51,5
"AYACUCHO","VICTOR FAJARDO",20523,52,5
"AYACUCHO","VILCAS HUAMAN",17999,53,5
"CAJAMARCA","CAJAMARCA",379923,54,6
"CAJAMARCA","CAJABAMBA",82286,55,6
"CAJAMARCA","CELENDIN",85348,56,6
"CAJAMARCA","CHOTA",153317,57,6
"CAJAMARCA","CONTUMAZA",29445,58,6
"CAJAMARCA","CUTERVO",127579,59,6
"CAJAMARCA","HUALGAYOC",85607,60,6
"CAJAMARCA","JAEN",202868,61,6
"CAJAMARCA","SAN IGNACIO",145735,62,6
"CAJAMARCA","SAN MARCOS",51730,63,6
"CAJAMARCA","SAN MIGUEL",48059,64,6
"CAJAMARCA","SAN PABLO",22708,65,6
"CAJAMARCA","SANTA CRUZ",39106,66,6
"CALLAO","CALLAO",1129854,67,7
"CUSCO","CUSCO",495343,68,8
"CUSCO","ACOMAYO",25126,69,8
"CUSCO","ANTA",62937,70,8
"CUSCO","CALCA",72394,71,8
"CUSCO","CANAS",36149,72,8
"CUSCO","CANCHIS",107291,73,8
"CUSCO","CHUMBIVILCAS",73171,74,8
"CUSCO","ESPINAR",64358,75,8
"CUSCO","LA CONVENCION",173482,76,8
"CUSCO","PARURO",27951,77,8
"CUSCO","PAUCARTAMBO",48837,78,8
"CUSCO","QUISPICANCHI",100658,79,8
"CUSCO","URUBAMBA",69378,80,8
"HUANCAVELICA","HUANCAVELICA",121156,81,9
"HUANCAVELICA","ACOBAMBA",40223,82,9
"HUANCAVELICA","ANGARAES",52535,83,9
"HUANCAVELICA","CASTROVIRREYNA",14197,84,9
"HUANCAVELICA","CHURCAMPA",34187,85,9
"HUANCAVELICA","HUAYTARA",17274,86,9
"HUANCAVELICA","TAYACAJA",85745,87,9
"HUANUCO","HUANUCO",307532,88,10
"HUANUCO","AMBO",53311,89,10
"HUANUCO","DOS DE MAYO",34771,90,10
"HUANUCO","HUACAYBAMBA",17023,91,10
"HUANUCO","HUAMALIES",54319,92,10
"HUANUCO","LEONCIO PRADO",134705,93,10
"HUANUCO","MARAÑON",28827,94,10
"HUANUCO","PACHITEA",53114,95,10
"HUANUCO","PUERTO INCA",36378,96,10
"HUANUCO","LAURICOCHA",19746,97,10
"HUANUCO","YAROWILCA",20541,98,10
"ICA","ICA",444688,99,11
"ICA","CHINCHA",262935,100,11
"ICA","NAZCA",78445,101,11
"ICA","PALPA",15383,102,11
"ICA","PISCO",173731,103,11
"JUNIN","HUANCAYO",580160,104,12
"JUNIN","CONCEPCION",60639,105,12
"JUNIN","CHANCHAMAYO",172048,106,12
"JUNIN","JAUJA",90655,107,12
"JUNIN","JUNIN",24703,108,12
"JUNIN","SATIPO",234377,109,12
"JUNIN","TARMA",98074,110,12
"JUNIN","YAULI",43094,111,12
"JUNIN","CHUPACA",57717,112,12
"LA LIBERTAD","TRUJILLO",1101428,113,13
"LA LIBERTAD","ASCOPE",128750,114,13
"LA LIBERTAD","BOLIVAR",16687,115,13
"LA LIBERTAD","CHEPEN",88570,116,13
"LA LIBERTAD","JULCAN",32604,117,13
"LA LIBERTAD","OTUZCO",89724,118,13
"LA LIBERTAD","PACASMAYO",114635,119,13
"LA LIBERTAD","PATAZ",86834,120,13
"LA LIBERTAD","SANCHEZ CARRION",166399,121,13
"LA LIBERTAD","SANTIAGO DE CHUCO",58612,122,13
"LA LIBERTAD","GRAN CHIMU",30120,123,13
"LA LIBERTAD","VIRU",102408,124,13
"LAMBAYEQUE","CHICLAYO",871464,125,14
"LAMBAYEQUE","FERREÑAFE",107975,126,14
"LAMBAYEQUE","LAMBAYEQUE",331346,127,14
"LIMA","LIMA",9612705,128,15
"LIMA","BARRANCA",163008,129,15
"LIMA","CAJATAMBO",7517,130,15
"LIMA","CANTA",13407,131,15
"LIMA","CAÑETE",261442,132,15
"LIMA","HUARAL",206894,133,15
"LIMA","HUAROCHIRI",65822,134,15
"LIMA","HUAURA",254866,135,15
"LIMA","OYON",19470,136,15
"LIMA","YAUYOS",23339,137,15
"LORETO","MAYNAS",553528,138,16
"LORETO","ALTO AMAZONAS",143702,139,16
"LORETO","LORETO",71543,140,16
"LORETO","MARISCAL RAMON CASTILLA",59879,141,16
"LORETO","REQUENA",66103,142,16
"LORETO","UCAYALI",63786,143,16
"LORETO","DATEM DEL MARAÑON",59470,144,16
"LORETO","PUTUMAYO",9548,145,16
"MADRE DE DIOS","TAMBOPATA",137290,146,17
"MADRE DE DIOS","MANU",22975,147,17
"MADRE DE DIOS","TAHUAMANU",13546,148,17
"MOQUEGUA","MARISCAL NIETO",93899,149,18
"MOQUEGUA","GENERAL SANCHEZ CERRO",17387,150,18
"MOQUEGUA","ILO",81454,151,18
"PASCO","PASCO",129637,152,19
"PASCO","DANIEL ALCIDES CARRION",45998,153,19
"PASCO","OXAPAMPA",96269,154,19
"PIURA","PIURA",881242,155,20
"PIURA","AYABACA",133814,156,20
"PIURA","HUANCABAMBA",123803,157,20
"PIURA","MORROPON",177394,158,20
"PIURA","PAITA",144844,159,20
"PIURA","SULLANA",344989,160,20
"PIURA","TALARA",155991,161,20
"PIURA","SECHURA",85877,162,20
"PUNO","PUNO",228999,163,21
"PUNO","AZANGARO",116527,164,21
"PUNO","CARABAYA",78417,165,21
"PUNO","CHUCUITO",94298,166,21
"PUNO","EL COLLAO",68311,167,21
"PUNO","HUANCANE",60157,168,21
"PUNO","LAMPA",43552,169,21
"PUNO","MELGAR",70587,170,21
"PUNO","MOHO",20244,171,21
"PUNO","SAN ANTONIO DE PUTINA",37712,172,21
"PUNO","SAN ROMAN",323437,173,21
"PUNO","SANDIA",57327,174,21
"PUNO","YUNGUYO",38429,175,21
"SAN MARTIN","MOYOBAMBA",135453,176,22
"SAN MARTIN","BELLAVISTA",60819,177,22
"SAN MARTIN","EL DORADO",42592,178,22
"SAN MARTIN","HUALLAGA",30047,179,22
"SAN MARTIN","LAMAS",90319,180,22
"SAN MARTIN","MARISCAL CACERES",70962,181,22
"SAN MARTIN","PICOTA",44511,182,22
"SAN MARTIN","RIOJA",131248,183,22
"SAN MARTIN","SAN MARTIN",214538,184,22
"SAN MARTIN","TOCACHE",79159,185,22
"TACNA","TACNA",344291,186,23
"TACNA","CANDARAVE",7096,187,23
"TACNA","JORGE BASADRE",12655,188,23
"TACNA","TARATA",6932,189,23
"TUMBES","TUMBES",173472,190,24
"TUMBES","CONTRALMIRANTE VILLAR",23535,191,24
"TUMBES","ZARUMILLA",54514,192,24
"UCAYALI","CORONEL PORTILLO",449826,193,25
"UCAYALI","ATALAYA",60677,194,25
"UCAYALI","PADRE ABAD",75054,195,25
"UCAYALI","PURUS",3553,196,25
