"prov_cdc","porc_fem","porc_65_plus"
"ABANCAY",0.492011952006957,0.0532289845419477
"ACOBAMBA",0.481126593390289,0.0382042754169706
"ACOMAYO",0.489239902470052,0.0964698399236722
"AIJA",0.503213610586011,0.115059861373661
"ALTO AMAZONAS",0.504279400322459,0.0463314269213184
"AMBO",0.49348816648531,0.0807943416757345
"ANDAHUAYLAS",0.485823875762307,0.0563887573307139
"ANGARAES",0.490547768351162,0.0439874585023976
"ANTA",0.494951952317236,0.0952438876049142
"ANTABAMBA",0.51063985911359,0.0942177869093044
"ANTONIO RAIMONDI",0.492046405932305,0.095443128812343
"AREQUIPA",0.481387789237819,0.085615972259206
"ASCOPE",0.491189792966064,0.0883708429182378
"ASUNCION",0.48177054298138,0.101237596164567
"ATALAYA",0.515495610761631,0.0332302661975335
"AYABACA",0.504897841092267,0.0744044748770373
"AYMARAES",0.507669396872673,0.0997766195085629
"AZANGARO",0.48565059317445,0.0657871604278451
"BAGUA",0.50210308323579,0.0486731924417632
"BARRANCA",0.493045995496944,0.0972402701833387
"BELLAVISTA",0.520631850419084,0.048920051579626
"BOLIVAR",0.507080858839653,0.0702946550936501
"BOLOGNESI",0.512235153685467,0.0929274843330349
"BONGARA",0.501619728586021,0.0669487815555231
"CAJABAMBA",0.493059157712733,0.0710139557860936
"CAJAMARCA",0.478033820051992,0.0525456969065531
"CAJATAMBO",0.507042253521127,0.144697243288793
"CALCA",0.493355481727575,0.073406106628698
"CALLAO",0.487486128215093,0.0837083202614685
"CAMANA",0.503129072218022,0.0643350118245146
"CANAS",0.491583665338645,0.0923057768924303
"CANCHIS",0.479611669076182,0.085335146054937
"CANDARAVE",0.512747875354108,0.140462700661001
"CAÑETE",0.497702007464945,0.0864440633511551
"CANGALLO",0.483251552883115,0.0761267266074822
"CANTA",0.513358659774553,0.133897988416267
"CARABAYA",0.519890661878921,0.0550120029856166
"CARAVELI",0.542870698809336,0.0743092112695149
"CARHUAZ",0.484478127797789,0.0859064315309501
"CARLOS FERMIN FITZCARRALD",0.480465241602299,0.0768367163642896
"CASMA",0.500134183852522,0.0714890278895977
"CASTILLA",0.513649460370171,0.096669433999121
"CASTROVIRREYNA",0.507001522070015,0.0767630644342973
"CAYLLOMA",0.503773165007688,0.068513797847374
"CELENDIN",0.482617078176504,0.0700084996994009
"CHACHAPOYAS",0.494817073170732,0.0761298421807747
"CHANCHAMAYO",0.512331977403283,0.0444122662449629
"CHEPEN",0.487814749185098,0.0753757301306031
"CHICLAYO",0.480382559863995,0.0825288920639514
"CHINCHA",0.489553492484527,0.0765694076038904
"CHINCHEROS",0.497312953072944,0.0712862667626526
"CHOTA",0.477629907847138,0.0748719430349651
"CHUCUITO",0.505603370987986,0.0595750403442711
"CHUMBIVILCAS",0.504041303186754,0.0832710224912468
"CHUPACA",0.481661203786783,0.100144659500833
"CHURCAMPA",0.491701742525026,0.0513161625193553
"CONCEPCION",0.477274291219378,0.0975433526011561
"CONDESUYOS",0.535486160397445,0.133884213728075
"CONDORCANQUI",0.497110242883636,0.0160241983399651
"CONTRALMIRANTE VILLAR",0.515461442427735,0.0660232401805435
"CONTUMAZA",0.49805737730395,0.0935256270786063
"CORONEL PORTILLO",0.501971243629518,0.0622649817046323
"CORONGO",0.511963448358783,0.0987134784176987
"COTABAMBAS",0.515868285778142,0.0587610817253967
"CUSCO",0.482424374083528,0.0612263075001358
"CUTERVO",0.493408437200384,0.0607551745530427
"DANIEL ALCIDES CARRION",0.498549778841273,0.0749220506127184
"DATEM DEL MARAÑON",0.504471544715447,0.0231707317073171
"DOS DE MAYO",0.485599036285318,0.0714755055851646
"EL COLLAO",0.496579485961758,0.0880513812092224
"EL DORADO",0.51962977791385,0.0495749040295801
"ESPINAR",0.509314398064982,0.0767642191323536
"FERREÑAFE",0.486570529723046,0.0774490371151643
"GENERAL SANCHEZ CERRO",0.516800596751772,0.12613162445326
"GRAN CHIMU",0.523474607234198,0.0908841797588601
"GRAU",0.500331077104179,0.0841303708063567
"HUACAYBAMBA",0.494418882072256,0.0690610088616224
"HUALGAYOC",0.479446349353945,0.06581623757773
"HUALLAGA",0.518293369357199,0.0670944500731735
"HUAMALIES",0.496674829230571,0.0635648923830391
"HUAMANGA",0.490849379472465,0.0405572648390777
