"prov_cdc","dpt_cdc","perc_essalud","deaths","deaths_first_wave","deaths_second_wave","date_first_peak","day_first_peak","mort_first_peak","date_second_peak","day_second_peak","mort_second_peak","n_peak","dist_peaks","pop","HDI","life_exp","perc_secondary","education_years","household_per_capita_income"
"BAGUA","AMAZONAS",0.127813765182186,428.613737639406,297.253193649822,131.360543989584,2020-08-03,154,0.00029750283952667,2021-06-09,464,0.00010570462740188,2,310,70180.4485091942,0.461036224246138,73.677103667733,49.3771580070641,7.04037006932985,732.507276695359
"BONGARA","AMAZONAS",0.100830830440379,112.125442683504,53.9198774203085,58.2055652631955,2020-09-13,195,8.17397821547932e-05,2021-05-05,429,0.00011978963937621,2,234,31540.8565310493,0.4128954525726,70.8969326610387,45.5163582888463,6.09908938343355,646.050343194069
"CHACHAPOYAS","AMAZONAS",0.218174611753684,278.819819150044,95.2550822653295,183.564736884714,2020-09-27,209,8.49404543251822e-05,2021-05-16,440,0.00018473809767083,2,231,55806.7687366167,0.542665288299619,72.3167073794572,67.0434832778956,8.18781517752189,944.577067944468
"CONDORCANQUI","AMAZONAS",0.059218271721215,161.99346859843,118.9179574405,43.0755111579299,2020-07-29,149,0.00019711465670504,2021-04-24,418,3.60271989328382e-05,2,269,51593.7473233405,0.2534515691766,66.2196274420332,33.9614742994672,5.52685689872207,230.671967079282
"LUYA","AMAZONAS",0.0693131695022054,120.731386042475,46.9742040227578,73.7571820197172,2020-09-10,192,3.61685605092299e-05,2021-05-14,438,8.3749077983812e-05,2,246,47607.1584582441,0.341050239505418,71.0418705191048,35.3737247495257,5.19381256497869,473.25829102871
"RODRIGUEZ DE MENDOZA","AMAZONAS",0.101006733782252,106.825601960059,37.4737843110154,69.3518176490437,2020-08-23,174,4.66546017056747e-05,2021-03-19,382,9.84473724979885e-05,2,208,32535.7708779443,0.366407435251007,70.7282192500745,36.3318113535588,5.67668772061511,540.180939188607
"UTCUBAMBA","AMAZONAS",0.102147579660005,318.6465698784,148.445111524824,170.201458353576,2020-07-23,143,5.96478562887858e-05,2021-05-31,455,7.52549619470331e-05,2,312,108203.830835118,0.470118925777447,71.4945249126438,58.8537912164716,5.99237116777026,827.896776508281
"AIJA","ANCASH",0.188410386320456,73.6132561462453,32.5171822057592,41.0960739404861,2020-07-23,143,0.00024360283628281,2021-04-18,412,0.00032562023133167,2,269,6570,0.369278952096014,63.7961218497704,44.9119984643117,7.12346714381197,502.852782279336
"ANTONIO RAIMONDI","ANCASH",0.117142857142857,80.6329594487238,40.6365137513314,39.9964456973925,2020-07-06,126,0.00010579441705276,2021-06-09,464,0.00016517534598869,3,338,13614.7408993576,0.316336893364822,71.4576969541614,47.7092586375444,6.0658571000556,301.19489326702
"ASUNCION","ANCASH",0.177283816752507,61.6977496418858,28.9438901981495,32.7538594437363,2020-07-22,142,0.00014896777102692,2021-05-18,442,0.00021184891677732,2,300,7419.32548179872,0.389049863688564,71.3636938226137,53.4877461298619,5.68700281371811,525.925445615162
