"prov_cdc","log_mort_cum","log_mort1","day_first_peak","log_mort2","day_second_peak","n_peak","dist_peaks","rt","day_rt","HDI","HDI_low","education_years","perc_essalud","mob","mig_in_perc","mig_out_perc","dens_pop","perc_fem","perc_65_plus","med_ratio","enf_ratio","altitud","ide","ocup_perc","bed_ratio","med2_ratio","log_essalud","log_pop_dens","log_med_ratio","deaths","pop","mort_first_peak","mort_second_peak","log_mig_in","mort_cum"
"BAGUA",-5.09826890507646,-8.12008678839668,154,-9.15486188740982,464,2,310,1.65302926131432,109,0.461036224246138,"High HDI",7.04037006932985,0.127813765182186,-43.6666666666667,0.0171003110161446,0.00589403983707831,1.21168815586451e-05,0.50210308323579,0.0486731924417632,0.0010971716715363,0.00272155570471992,408,0.649202856777717,0.327113784816858,0.00125391048175577,0.00072669812010846,-2.05718103405808,-11.3209109075712,-6.81501961810371,428.613737639406,70180.4485091942,0.00029750283952667,0.00010570462740188,-4.06865862756029,0.00610730975284739
"BONGARA",-5.63942074862906,-9.41196974493087,195,-9.02977335869213,429,2,234,1.25083759465608,173,0.4128954525726,"Low HDI",6.09908938343355,0.100830830440379,NA,0.025923539535288,0,1.11310280756255e-05,0.501619728586021,0.0669487815555231,0.000475573641610962,0.000697508007696077,2081,0.716390890220421,0.413977864094443,NA,NA,-2.29431111256631,-11.405774027165,-7.65098881602291,112.125442683504,31540.8565310493,8.17397821547932e-05,0.00011978963937621,-3.65260386067563,0.00355492700628234
"CHACHAPOYAS",-5.29908468083779,-9.3735600843157,209,-8.59657142418513,440,2,231,1.29620167795459,173,0.542665288299619,"High HDI",8.18781517752189,0.218174611753684,-30.5,0.0106490643192744,0.0202886237687191,1.91907867155658e-05,0.494817073170732,0.0761298421807747,0.00148727478546058,0.00297454957092117,2338,0.767278998632085,0.423191499475082,0.0024369803713571,0.00146935581214178,-1.52245956545224,-10.8610802526638,-6.51080983673972,278.819819150044,55806.7687366167,8.49404543251822e-05,0.00018473809767083,-4.54228324803152,0.0049961649001029
"CONDORCANQUI",-5.76359975109703,-8.53172498479942,149,-10.231236378862,418,2,269,1.65506335665462,109,0.2534515691766,"Low HDI",5.52685689872207,0.059218271721215,NA,0.00764034521689027,0,2.88782910768193e-06,0.497110242883636,0.0160241983399651,0.00052331922763411,0.00120169600419685,189,0.408828965702124,0.171950570716787,NA,NA,-2.82652514077348,-12.7550055119248,-7.55531890221868,161.99346859843,51593.7473233405,0.00019711465670504,3.60271989328382e-05,-4.8743124913677,0.00313978877291485
"LUYA",-5.97717028889808,-10.2273203107123,192,-9.38768539646821,438,2,246,1.22414291655645,174,0.341050239505418,"Low HDI",5.19381256497869,0.0693131695022054,-22,0.039740164512942,0,1.4396638998903e-05,0.512531041069723,0.0879083094555874,0.000609152088449801,0.00100825173260657,2328,0.705204486664951,0.33394794703467,NA,NA,-2.66912035473399,-11.148515781479,-7.40344258670417,120.731386042475,47607.1584582441,3.61685605092299e-05,8.3749077983812e-05,-3.22539290213523,0.00253599227411079
"RODRIGUEZ DE MENDOZA",-5.71889778892805,-9.97273899232738,174,-9.22598844193018,382,2,208,1.21321980260694,173,0.366407435251007,"Low HDI",5.67668772061511,0.101006733782252,NA,0.0259894654914821,0,1.25993610915793e-05,0.522155916708989,0.0761808024377857,0.000676178845816547,0.000891326660394539,1616,0.674197729182214,0.384902264729505,0.000522501835403695,0.000215147814577992,-2.29256809325189,-11.28186445231,-7.29905295209503,106.825601960059,32535.7708779443,4.66546017056747e-05,9.84473724979885e-05,-3.65006399647011,0.00328332782895503
"UTCUBAMBA",-5.8276894927388,-9.72705234822564,143,-9.49462871701374,455,2,312,1.49316992697393,77,0.470118925777447,"High HDI",5.99237116777026,0.102147579660005,-55,0.016359898551593,0.0071176981822273,2.71471192028461e-05,0.5091843374097,0.0517192479020337,0.000517541750303955,0.00119219438909304,444,0.693749408810203,0.357380201240684,0.000582234469091949,0.000388156312727966,-2.28133665197861,-10.5142396239232,-7.5664203591631,318.6465698784,108203.830835118,5.96478562887858e-05,7.52549619470331e-05,-4.11292214882964,0.00294487327684319
"AIJA",-4.49144399127913,-8.31997137899923,143,-8.0297787902267,412,2,269,1.28088393103496,109,0.369278952096014,"Low HDI",7.12346714381197,0.188410386320456,NA,0.0805455368887166,0,9.44692074393276e-06,0.503213610586011,0.115059861373661,0.00060882800608828,0.00106544901065449,3421,0.686007284149375,0.390042562913993,0.0015220700152207,0.00121765601217656,-1.66913278926996,-11.5698217167612,-7.40397475035877,73.6132561462453,6570,0.00024360283628281,0.00032562023133167,-2.51893257885554,0.0112044529902961
"ANTONIO RAIMONDI",-5.12900088231061,-9.15401280880991,126,-8.708502945371,464,3,338,1.22110378179326,109,0.316336893364822,"Low HDI",6.0658571000556,0.117142857142857,NA,0.047338872369343,0,2.43603060737575e-05,0.492046405932305,0.095443128812343,0.000807947803143211,0.000807947803143211,3400,0.748010806900013,0.225235499753482,NA,NA,-2.14436108777915,-10.6225555505973,-7.12101310160014,80.6329594487238,13614.7408993576,0.00010579441705276,0.00016517534598869,-3.05042349500799,0.00592247476795746
"ASUNCION",-4.78959596894395,-8.81178057724818,142,-8.45963719406352,442,2,300,NA,NA,0.389049863688564,"Low HDI",5.68700281371811,0.177283816752507,NA,0.0511313141332514,0,1.40581432840172e-05,0.48177054298138,0.101237596164567,0.000269566284011458,0.000808698852034374,3387,0.754790116977737,0.258693666966468,0,0.000673915710028645,-1.73000334613948,-11.1723087369153,-8.21869624605137,61.6977496418858,7419.32548179872,0.00014896777102692,0.00021184891677732,-2.97335816841626,0.0083158165514162
"BOLOGNESI",-5.46015450946736,-9.51360715794514,159,-8.80757794378292,421,2,262,1.18280462675536,173,0.453107932719228,"High HDI",7.55960851549146,0.142328864982981,NA,0.0369275742219604,0,9.26379772223224e-06,0.512235153685467,0.0929274843330349,0.000345205112081151,0.000655889712954187,3410,0.725946079482943,0.378072591144667,0.000897533291410993,0.000759451246578533,-1.9496149484766,-11.5893964721915,-7.97137178982308,123.199177303989,28968.2847965739,7.38402074777355e-05,0.00014959514535546,-3.29879673811422,0.00425289858095291
"CARHUAZ",-5.59298518156481,-9.82664060009928,186,-8.84454617139609,427,3,241,1.25653982363251,173,0.408914652227987,"Low HDI",5.38179363206706,0.0808472025495751,-34,0.0216769831071595,0,5.65625130992605e-05,0.484478127797789,0.0859064315309501,0.000543425365308683,0.00108685073061737,2663,0.712622126253204,0.318404961624979,0.000369529248409904,0.00106511371600502,-2.51519429405763,-9.78016410491502,-7.51761818317171,171.315832473761,46004.47751606,5.39938395616638e-05,0.00014416585196358,-3.83150426766755,0.00372389475380859
"CARLOS FERMIN FITZCARRALD",-5.49913539495331,-9.42558230516396,162,-9.37089812847031,459,2,297,1.18836333851874,174,0.305968553232619,"Low HDI",4.83874754204668,0.0896314274425693,NA,0.0384088761315555,0,3.09745605883668e-05,0.480465241602299,0.0768367163642896,0.000514917388286081,0.000669392604771905,3145,0.689181982725371,0.206170369765678,NA,NA,-2.41204926779336,-10.3823443165588,-7.57150408126276,79.4361678724016,19420.591006424,8.06346334637833e-05,8.51668632757035e-05,-3.25946669684007,0.00409030640963117
"CASMA",-4.95294005712911,-8.75490228292718,122,-8.04968143229171,418,2,296,1.60105736474072,76,0.557300920754884,"High HDI",7.87278539107506,0.184255427641256,-67.5,0.00331042107831389,0.00491661397247594,2.2268042884267e-05,0.500134183852522,0.0714890278895977,0.000336187988158594,0.000632824448298531,59,0.668583909018809,0.405271140775581,0.000613048684289202,0.000632824448298531,-1.69143229032076,-10.7123579618201,-7.9978400658892,357.134818310233,50566.9464668094,0.00015768640386057,0.00031920359424317,-5.71067988369207,0.00706261388641779
"CORONGO",-4.93447812135827,-8.79633903261887,132,-8.41678851818999,412,2,280,NA,NA,0.388256123584986,"Low HDI",6.25685271753119,0.105682421667552,NA,0.0476627720808598,0,7.2905112976508e-06,0.511963448358783,0.0987134784176987,0.000540487051747295,0.00108097410349459,3172,0.734964707795205,0.292691216664409,0,0.000540487051747295,-2.24731670393266,-11.8289368775512,-7.52303987723617,53.2424556702213,7400.73233404711,0.0001512859153142,0.00022112364833209,-3.04360464532569,0.00719421447324599
"HUARAZ",-5.11162581810765,-8.46327805243526,166,-8.64513860260841,422,2,256,1.57464689274392,77,0.562543270468146,"High HDI",9.2781112959143,0.213083154401718,-52.6666666666667,0.00457755883602475,0.0168580829536272,6.77229471742215e-05,0.489807441214873,0.0722007222424806,0.000842266483726804,0.00193191193470204,3073,0.785150049495268,0.390981036339384,0.00139592417233044,0.00177288259861376,-1.5460727932053,-9.60008548164894,-7.07941410480732,1023.14133824392,169779.995717345,0.00021107900729131,0.00017598028212053,-5.3865894281886,0.0060262773239038
"HUARI",-5.75818373330155,-9.96174191781366,172,-9.2788122430818,437,2,265,1.20167522058,173,0.424135442845821,"High HDI",6.79737237420717,0.155601730422046,-22,0.0443645772809696,0,2.11969608751177e-05,0.511671669180884,0.0909939192236513,0.000625589080695415,0.00103137659249785,3114,0.727483931032877,0.295736196663701,0.000490326576761271,0.000236709381884752,-1.86045554633538,-10.7616527415099,-7.37681682301687,186.708952817926,59144.2548179872,4.71704973090656e-05,9.33819727050569e-05,-3.11531393695009,0.00315684005813432
"HUARMEY",-4.74930481819443,-8.76696365521285,174,-7.9319392357688,425,3,251,1.39696725194969,78,0.574461230554633,"High HDI",8.72819654614267,0.221629581151832,-77.5,0.00524756757255576,0.00483923089017087,8.05639043041726e-06,0.508657249449954,0.0779630751570422,0.000411876032573417,0.000918800380356084,30,0.697011973018572,0.429570701032869,0.0005702898912555,0.000792069293410417,-1.50674784406556,-11.7290449391721,-7.79478814570387,273.262448983662,31562.8950749465,0.00015579591331284,0.00035908937832506,-5.24999062925744,0.00865771179528357
"HUAYLAS",-5.3129886376521,-9.31706219801986,189,-8.55397257068389,418,2,229,1.26379506440679,173,0.405559625805934,"Low HDI",5.60776406313878,0.103596057194062,-19.5,0.0168085632026023,0.00292982047627658,2.24777913298058e-05,0.491261292564281,0.0806984016678249,0.000622590010271651,0.0012451800205433,2273,0.707131291660884,0.334184766272023,0.00087551720194451,0.00066150188591363,-2.26725600785335,-10.7029827882192,-7.38162234526434,253.248092346647,51398.1905781585,8.98775654199139e-05,0.00019277775314765,-4.08586680799259,0.00492717913798047
"MARISCAL LUZURIAGA",-5.33905022035356,-9.701310182991,173,-9.09214868088547,410,2,237,1.17281079658381,187,0.276132981732583,"Low HDI",5.07427539486264,0.0843028988365214,NA,0.0347499288693253,0,2.79368319830504e-05,0.4805929473945,0.0843174498307044,0.000486268992344439,0.000826657286985546,3326,0.636120512025277,0.13992583977325,0.00087528418621999,0.000437642093109995,-2.4733390274182,-10.4855645969976,-7.62874860498835,98.7195969736349,20564.7494646681,6.12032550364048e-05,0.00011254598313135,-3.35957775389932,0.00480042789450186
"OCROS",-4.80745506370248,-8.48855501477212,128,-8.091276847135,443,2,315,1.24521446974887,109,0.465454484624551,"High HDI",7.24808367187422,0.0838187242506038,NA,0.0334176340007607,0,5.13160905192165e-06,0.528224706844832,0.123443323334242,0.000611693163182795,0.000815590884243727,3238,0.673682073687724,0.431353033216927,0.000203897721060932,0.000713642023713261,-2.47909885670837,-12.1800912926158,-7.39927976852696,80.1247002378481,9808.83940042827,0.00020581043839795,0.00030619853869635,-3.39867155422886,0.00816862188959376
"PALLASCA",-5.4612639606909,-9.84936626645322,170,-8.49105949744977,427,2,257,1.23165551211784,402,0.327174294684724,"Low HDI",5.89643421658593,0.0867991996934996,NA,0.0513974525114007,0,1.27892203584251e-05,0.490840257948603,0.0910199236420803,0.000756602695125729,0.000945753368907161,3156,0.722250764232484,0.252951494294882,0,0.000151320539025146,-2.44415787747931,-11.2669079013523,-7.18667228361767,112.296264373028,26433.9528907923,5.27806312755809e-05,0.00020529563464773,-2.96816666978426,0.00424818281385922
"POMABAMBA",-5.38747417788596,-9.30842104521125,93,-8.85417224257117,444,2,351,1.37832164300185,78,0.341970981075689,"Low HDI",5.26164332658915,0.119706380575946,NA,0.0362168536827826,0,2.96423982795122e-05,0.477307615297337,0.0775211906827738,0.000768958749718707,0.00179423708267698,2964,0.695982032658324,0.18086445852866,0.00168438583271717,0.000915427082998461,-2.12271336311082,-10.4263048471959,-7.1704732313555,124.901008454344,27309.6573875803,9.06575764404019e-05,0.00014278475912501,-3.31823069714754,0.00457351063331705
"RECUAY",-5.0433725001314,-9.06792851485022,178,-8.26413865231325,420,2,242,1.21951058337894,173,0.426784731367209,"High HDI",7.31690869210289,0.136165260401513,NA,0.0490827093454347,0,7.71060626336315e-06,0.479028249733732,0.113506111477405,0.00105921151115688,0.00139369935678537,3428,0.694831354650171,0.311706489414536,0.000390235819899902,0.00111495948542829,-1.99388598093219,-11.7729137401,-6.85023050505652,115.734292763574,17937.8715203426,0.000115305144321,0.00025759070374975,-3.01424845802582,0.00645195237530409
