"prov_cdc","day","date","infection_day","rt","I_peak","mob"
"ABANCAY",173,2020-08-15,166,1.42682643881417,141.086128973235,-35.2
"ACOBAMBA",173,2020-08-15,166,1.2619109239759,51.2588724988814,NA
"ACOMAYO",173,2020-08-15,166,1.28173700961839,32.3437201836381,NA
"AIJA",540,2021-08-17,533,1.27930877723371,17.7256352508977,NA
"ALTO AMAZONAS",77,2020-05-11,70,1.70673319711526,44.1216463300904,-42
"AMBO",173,2020-08-15,166,1.25813674849298,51.1895790985218,NA
"ANDAHUAYLAS",173,2020-08-15,166,1.25371328027902,85.3894057643364,-17.6666666666667
"ANGARAES",173,2020-08-15,166,1.23966086812797,93.623272680568,NA
"ANTA",173,2020-08-15,166,1.33576825151172,88.188599024719,NA
"ANTABAMBA",540,2021-08-17,533,1.24198984774376,25.7627988889487,NA
"ANTONIO RAIMONDI",187,2020-08-29,180,1.18030595125777,25.6878421439023,NA
"AREQUIPA",109,2020-06-12,102,1.53967833186563,737.236153941921,-39.3333333333333
"ASCOPE",108,2020-06-11,101,1.48031852093477,194.457418094243,-55.75
"ASUNCION",173,2020-08-15,166,1.20244792209115,18.9993969467728,NA
"ATALAYA",109,2020-06-12,102,1.24540713665584,27.9086920653409,-20
"AYABACA",81,2020-05-15,74,1.37237535079127,19.3318838340447,NA
"AYMARAES",173,2020-08-15,166,1.29111425150883,29.3305224195847,NA
"AZANGARO",173,2020-08-15,166,1.35197118579253,81.2889820842724,-6
"BAGUA",109,2020-06-12,102,1.62351855482433,73.4076511285455,-43.6666666666667
"BARRANCA",109,2020-06-12,102,1.52948157789036,112.039149565259,-35.1666666666667
"BELLAVISTA",109,2020-06-12,102,1.33695535228761,55.8271430448318,-14
"BOLOGNESI",540,2021-08-17,533,1.25663292257365,28.6269472272218,NA
"BONGARA",174,2020-08-16,167,1.25694533979522,32.8620291947865,NA
"CAJABAMBA",173,2020-08-15,166,1.32434336294453,58.1338550972691,-32
"CAJAMARCA",109,2020-06-12,102,1.48622417304589,78.9224433244096,-42.5
"CAJATAMBO",172,2020-08-14,165,1.32867059366524,108.687164129116,NA
"CALCA",173,2020-08-15,166,1.36819141139113,41.4952645196553,-11
"CALLAO",58,2020-04-22,51,2.40645787255332,379.746073982468,-54
"CAMANA",338,2021-01-27,331,1.44116190859522,137.691610330351,-33
"CANAS",173,2020-08-15,166,1.30376755507335,30.8823293763777,NA
"CANCHIS",173,2020-08-15,166,1.41620070168335,131.916641559495,-19
"CANDARAVE",173,2020-08-15,166,1.25991165300713,34.2603173262787,NA
"CAÑETE",59,2020-04-23,52,1.97642648218796,51.4640212232957,-50.1666666666667
"CANGALLO",540,2021-08-17,533,1.28574192025451,24.8972607001581,NA
"CANTA",173,2020-08-15,166,1.21831894949956,46.7191965833295,NA
"CARABAYA",173,2020-08-15,166,1.44873572210488,45.4930532841858,NA
"CARAVELI",173,2020-08-15,166,1.23687919569515,56.5536695794153,-22
"CARHUAZ",173,2020-08-15,166,1.25963422701923,38.2417915222776,-34
"CARLOS FERMIN FITZCARRALD",540,2021-08-17,533,1.2432130002342,30.9490467803639,NA
"CASMA",77,2020-05-11,70,1.58958848912277,28.6230494232342,-42
"CASTILLA",173,2020-08-15,166,1.24341725809756,64.7755635174094,-21
"CASTROVIRREYNA",109,2020-06-12,102,1.25674867893696,25.9610803283493,NA
"CAYLLOMA",338,2021-01-27,331,1.43591020959696,48.8195975781714,-12.25
"CELENDIN",173,2020-08-15,166,1.34630278343159,81.339858580757,-23
"CHACHAPOYAS",173,2020-08-15,166,1.30134187932175,64.7610005544435,-30.5
"CHANCHAMAYO",338,2021-01-27,331,1.41837427436119,98.4640417649261,-18
"CHEPEN",63,2020-04-27,56,1.78524982236575,36.6411259156807,-55.25
"CHICLAYO",57,2020-04-21,50,2.51196767906551,343.813578939139,-61.6666666666667
"CHINCHA",62,2020-04-26,55,2.00795784517718,49.6956816827361,-88
"CHINCHEROS",424,2021-04-23,417,1.16068496901869,74.0654062807602,NA
"CHOTA",173,2020-08-15,166,1.27677372678199,70.7808972067574,-7.5
"CHUCUITO",173,2020-08-15,166,1.48475101924188,83.4571534136299,-28
"CHUMBIVILCAS",338,2021-01-27,331,1.30263096024586,72.9615841352544,NA
"CHUPACA",76,2020-05-10,69,1.39301522981188,27.8254980571462,-73
"CHURCAMPA",540,2021-08-17,533,1.28455798744629,27.820231801534,NA
"CONCEPCION",79,2020-05-13,72,1.43953612601301,21.2033532197328,-53.5
"CONDESUYOS",465,2021-06-03,458,1.13322606161091,41.0645259572322,NA
"CONDORCANQUI",111,2020-06-14,104,1.69547286367905,33.0801263533944,NA
"CONTRALMIRANTE VILLAR",80,2020-05-14,73,1.46400027246571,22.8477368779406,-69
"CONTUMAZA",540,2021-08-17,533,1.27860292298233,19.5658619036465,-15
"CORONEL PORTILLO",57,2020-04-21,50,2.67085321397672,204.671519469725,-57.3333333333333
"CORONGO",540,2021-08-17,533,1.29457827237896,17.3453669715655,NA
"COTABAMBAS",173,2020-08-15,166,1.36208320439861,24.1948097519719,-46.5
"CUSCO",171,2020-08-13,164,1.57585170641014,1348.27342726188,-42.8333333333333
"CUTERVO",173,2020-08-15,166,1.22959978716135,63.1890303480231,-52
"DANIEL ALCIDES CARRION",173,2020-08-15,166,1.2120520996226,57.8526271237762,NA
"DATEM DEL MARAÑON",109,2020-06-12,102,1.27817386126339,54.6616040329211,NA
"DOS DE MAYO",339,2021-01-28,332,1.28825457228582,17.563876491125,NA
